threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count,manufacturer,configuration_type
0.13999999999999999,0.10344827586206896,1.0,0.1875,0.12605042016806722,0.5909090909090909,3,26,0,18,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.14999999999999997,0.10344827586206896,1.0,0.1875,0.12605042016806722,0.5909090909090909,3,26,0,18,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.15999999999999998,0.10714285714285714,1.0,0.19354838709677416,0.13043478260869565,0.5681818181818182,3,25,0,19,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.16999999999999998,0.10714285714285714,1.0,0.19354838709677416,0.13043478260869565,0.5681818181818182,3,25,0,19,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.18,0.1111111111111111,1.0,0.19999999999999998,0.13513513513513514,0.5454545454545454,3,24,0,20,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.19,0.1111111111111111,1.0,0.19999999999999998,0.13513513513513514,0.5454545454545454,3,24,0,20,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.19999999999999996,0.1111111111111111,1.0,0.19999999999999998,0.13513513513513514,0.5454545454545454,3,24,0,20,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.20999999999999996,0.13043478260869565,1.0,0.23076923076923078,0.15789473684210525,0.45454545454545453,3,20,0,24,1,1,1.0,13.995277777777778,4,44,manufacturer 1,SH + DHW with sub-circuits
0.21999999999999997,0.13636363636363635,1.0,0.24000000000000002,0.16483516483516483,0.4318181818181818,3,19,0,25,1,1,1.0,13.995277777777778,4,44,manufacturer 1,SH + DHW with sub-circuits
0.22999999999999998,0.14285714285714285,1.0,0.25,0.1724137931034483,0.4090909090909091,3,18,0,26,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.24,0.14285714285714285,1.0,0.25,0.1724137931034483,0.4090909090909091,3,18,0,26,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.24999999999999994,0.16666666666666666,1.0,0.2857142857142857,0.2,0.3409090909090909,3,15,0,29,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.25999999999999995,0.16666666666666666,1.0,0.2857142857142857,0.2,0.3409090909090909,3,15,0,29,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.26999999999999996,0.16666666666666666,1.0,0.2857142857142857,0.2,0.3409090909090909,3,15,0,29,1,1,1.0,13.995277777777778,3,44,manufacturer 1,SH + DHW with sub-circuits
0.27999999999999997,0.21428571428571427,1.0,0.35294117647058826,0.2542372881355932,0.25,3,11,0,33,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.29,0.23076923076923078,1.0,0.375,0.2727272727272727,0.22727272727272727,3,10,0,34,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.3,0.23076923076923078,1.0,0.375,0.2727272727272727,0.22727272727272727,3,10,0,34,1,1,1.0,13.995277777777778,2,44,manufacturer 1,SH + DHW with sub-circuits
0.30999999999999994,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.31999999999999995,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.32999999999999996,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.33999999999999997,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.3499999999999999,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.35999999999999993,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.36999999999999994,0.25,1.0,0.4,0.29411764705882354,0.20454545454545456,3,9,0,35,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.37999999999999995,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.38999999999999996,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.3999999999999999,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.4099999999999999,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.41999999999999993,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.42999999999999994,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.43999999999999995,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.4499999999999999,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.4599999999999999,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.4699999999999999,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.4799999999999999,0.2727272727272727,1.0,0.42857142857142855,0.3191489361702128,0.18181818181818182,3,8,0,36,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.48999999999999994,0.375,1.0,0.5454545454545454,0.42857142857142855,0.11363636363636363,3,5,0,39,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.49999999999999994,0.375,1.0,0.5454545454545454,0.42857142857142855,0.11363636363636363,3,5,0,39,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.5099999999999999,0.375,1.0,0.5454545454545454,0.42857142857142855,0.11363636363636363,3,5,0,39,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.5199999999999999,0.375,1.0,0.5454545454545454,0.42857142857142855,0.11363636363636363,3,5,0,39,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.5299999999999999,0.375,1.0,0.5454545454545454,0.42857142857142855,0.11363636363636363,3,5,0,39,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.5399999999999999,0.375,1.0,0.5454545454545454,0.42857142857142855,0.11363636363636363,3,5,0,39,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.5499999999999999,0.42857142857142855,1.0,0.6,0.4838709677419355,0.09090909090909091,3,4,0,40,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.5599999999999999,0.6,1.0,0.7499999999999999,0.6521739130434783,0.045454545454545456,3,2,0,42,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.57,0.75,1.0,0.8571428571428571,0.7894736842105263,0.022727272727272728,3,1,0,43,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.58,0.75,1.0,0.8571428571428571,0.7894736842105263,0.022727272727272728,3,1,0,43,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.59,0.75,1.0,0.8571428571428571,0.7894736842105263,0.022727272727272728,3,1,0,43,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.6,0.75,1.0,0.8571428571428571,0.7894736842105263,0.022727272727272728,3,1,0,43,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.61,0.75,1.0,0.8571428571428571,0.7894736842105263,0.022727272727272728,3,1,0,43,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.62,0.75,1.0,0.8571428571428571,0.7894736842105263,0.022727272727272728,3,1,0,43,1,1,1.0,13.995277777777778,1,44,manufacturer 1,SH + DHW with sub-circuits
0.63,1.0,1.0,1.0,1.0,0.0,3,0,0,44,1,1,1.0,13.995277777777778,0,44,manufacturer 1,SH + DHW with sub-circuits
0.6399999999999999,1.0,1.0,1.0,1.0,0.0,3,0,0,44,1,1,1.0,13.995277777777778,0,44,manufacturer 1,SH + DHW with sub-circuits
0.6499999999999999,1.0,1.0,1.0,1.0,0.0,3,0,0,44,1,1,1.0,13.995277777777778,0,44,manufacturer 1,SH + DHW with sub-circuits
0.6599999999999999,1.0,1.0,1.0,1.0,0.0,3,0,0,44,1,1,1.0,13.995277777777778,0,44,manufacturer 1,SH + DHW with sub-circuits
