threshold,row_precision,row_recall,row_f1,row_f0_5,false_positive_rate,tp,fp,fn,tn,total_fault_events,detected_fault_events,event_recall,median_lead_time_hours,false_positive_episodes,normal_count
0.73,0.66,0.46153846153846156,0.5432098765432098,0.6077348066298343,0.11805555555555555,66,34,77,254,11,9,0.8181818181818182,68.0,4,288
0.74,0.6565656565656566,0.45454545454545453,0.5371900826446281,0.6029684601113172,0.11805555555555555,65,34,78,254,11,9,0.8181818181818182,68.0,4,288
0.7499999999999999,0.6494845360824743,0.4405594405594406,0.525,0.5932203389830508,0.11805555555555555,63,34,80,254,11,9,0.8181818181818182,68.0,4,288
0.7599999999999999,0.6344086021505376,0.4125874125874126,0.5,0.5728155339805825,0.11805555555555555,59,34,84,254,11,9,0.8181818181818182,68.0,4,288
0.7699999999999999,0.6404494382022472,0.3986013986013986,0.4913793103448277,0.5711422845691383,0.1111111111111111,57,32,86,256,11,9,0.8181818181818182,68.0,4,288
0.7799999999999999,0.6363636363636364,0.3916083916083916,0.48484848484848486,0.5656565656565656,0.1111111111111111,56,32,87,256,11,9,0.8181818181818182,68.0,4,288
0.7899999999999999,0.6352941176470588,0.3776223776223776,0.4736842105263158,0.5590062111801242,0.1076388888888889,54,31,89,257,11,9,0.8181818181818182,68.0,4,288
0.7999999999999999,0.6265060240963856,0.36363636363636365,0.46017699115044247,0.5473684210526316,0.1076388888888889,52,31,91,257,11,9,0.8181818181818182,68.0,4,288
0.8099999999999999,0.625,0.34965034965034963,0.4484304932735426,0.5399568034557235,0.10416666666666667,50,30,93,258,11,9,0.8181818181818182,68.0,4,288
0.82,0.6486486486486487,0.3356643356643357,0.4423963133640553,0.5466970387243736,0.09027777777777778,48,26,95,262,11,9,0.8181818181818182,68.0,5,288
0.83,0.6527777777777778,0.32867132867132864,0.43720930232558136,0.5452436194895591,0.08680555555555555,47,25,96,263,11,9,0.8181818181818182,68.0,5,288
0.84,0.6515151515151515,0.3006993006993007,0.4114832535885167,0.5282555282555282,0.0798611111111111,43,23,100,265,11,9,0.8181818181818182,68.0,5,288
0.8499999999999999,0.6825396825396826,0.3006993006993007,0.4174757281553398,0.5443037974683544,0.06944444444444445,43,20,100,268,11,9,0.8181818181818182,68.0,4,288
0.8599999999999999,0.6481481481481481,0.24475524475524477,0.35532994923857864,0.48746518105849584,0.06597222222222222,35,19,108,269,11,9,0.8181818181818182,68.0,4,288
0.8699999999999999,0.62,0.21678321678321677,0.3212435233160622,0.4518950437317784,0.06597222222222222,31,19,112,269,11,9,0.8181818181818182,68.0,4,288
0.8799999999999999,0.6382978723404256,0.2097902097902098,0.31578947368421056,0.45317220543806647,0.059027777777777776,30,17,113,271,11,8,0.7272727272727273,68.25,4,288
0.8899999999999999,0.6190476190476191,0.18181818181818182,0.28108108108108104,0.4180064308681672,0.05555555555555555,26,16,117,272,11,8,0.7272727272727273,68.25,5,288
0.8999999999999999,0.6341463414634146,0.18181818181818182,0.28260869565217395,0.4234527687296417,0.052083333333333336,26,15,117,273,11,8,0.7272727272727273,68.25,5,288
0.9099999999999999,0.6486486486486487,0.16783216783216784,0.26666666666666666,0.41237113402061853,0.04513888888888889,24,13,119,275,11,8,0.7272727272727273,68.25,4,288
0.9199999999999999,0.7058823529411765,0.16783216783216784,0.2711864406779661,0.43010752688172044,0.034722222222222224,24,10,119,278,11,8,0.7272727272727273,68.25,5,288
0.9299999999999999,0.7419354838709677,0.16083916083916083,0.26436781609195403,0.4307116104868914,0.027777777777777776,23,8,120,280,11,7,0.6363636363636364,68.0,4,288
0.94,0.8148148148148148,0.15384615384615385,0.25882352941176473,0.43824701195219123,0.017361111111111112,22,5,121,283,11,7,0.6363636363636364,68.0,2,288
0.95,0.9090909090909091,0.13986013986013987,0.24242424242424243,0.4329004329004329,0.006944444444444444,20,2,123,286,11,7,0.6363636363636364,68.0,1,288
