feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
hc1_supply_temperature_gap__mean,45.28369802236557,13,sensor_numeric,70,41,0.0,0.0,0.0,0.0,0.001720055977302376,0.0018980441185637343,-0.001720055977302376,-0.001720055977302376,
p_net_meter_heat_power__min,50.18709933757782,11,sensor_numeric,66,46,0.0010912012928101066,0.0006524686622710389,0.00459316127096131,0.003620453952051064,0.0014369259312843497,0.004387613676925854,-0.00034572463847424304,0.0031562353396769605,
p_hc1_return_temperature__last,83.66871893405914,6,sensor_numeric,51,65,0.0,0.0,0.0008160042116346578,0.0012464670224061948,0.0014363354037267295,0.0014363354037267295,-0.0014363354037267295,-0.0006203311920920717,
s_dhw_lower_storage_temperature__std,64.13629984855652,9,sensor_numeric,56,56,-0.0009668671147270546,0.0006329631057428971,0.00011664942699425307,0.0023825583906938934,0.0014363354037267295,0.0014363354037267295,-0.0024032025184537844,-0.0013196859767324765,
outdoor_temperature__first,5.607670068740845,2,sensor_numeric,101,90,0.0,0.0,0.0,0.0,0.0014363354037267295,0.0014363354037267295,-0.0014363354037267295,-0.0014363354037267295,
outdoor_temperature__max,107.5345196723938,8,sensor_numeric,44,58,0.0002776846664253929,0.0010351609109757692,0.0016320084232693155,0.0013325292976446453,0.0014255620517584166,0.002654503715696703,-0.0011478773853330236,0.00020644637151089897,
p_net_supply_temperature__last,154.36311656236649,14,sensor_numeric,36,38,0.001940205979542764,0.0006801926165888746,-0.003123224060312746,0.0034067766390073174,0.0011455218158116843,0.0018969702941713281,0.0007946841637310796,-0.004268745876124431,
outdoor_temperature__last,18.1910640001297,11,sensor_numeric,82,46,-0.00041437162059730913,0.0006329631057428971,0.007206158986431644,0.005482042714016498,0.001052354113948345,0.003924104414852685,-0.0014667257345456542,0.006153804872483299,
p_net_meter_volume__delta,62.42818069458008,5,sensor_numeric,58,72,0.00012127949871140186,0.00036383849613420567,0.0013600070193910963,0.0013600070193910963,0.0008618012422360377,0.0013164231421845388,-0.0007405217435246358,0.0004982057771550586,
s_hc1_supply_temperature_setpoint__mean,54.96013867855072,6,sensor_numeric,60,65,0.0,0.0,-0.0005481874447391677,0.0010963748894783352,0.0005745341614906918,0.0011490683229813837,-0.0005745341614906918,-0.0011227216062298594,
s_dhw_lower_storage_temperature__max,94.11810094118118,26,sensor_numeric,48,20,-0.00041437162059730913,0.0006329631057428971,0.0,0.0,0.000570920739091385,0.0017308481883662708,-0.0009852923596886942,-0.000570920739091385,
outdoor_temperature__min,243.7183437049389,12,sensor_numeric,25,45,0.0,0.0,0.0022694577866991584,0.001987642174622698,0.00048136645962735256,0.003607500791058302,-0.00048136645962735256,0.0017880913270718057,
p_net_meter_flow__min,120.3193610906601,32,sensor_numeric,40,14,0.000779243121564488,0.0010396841228791772,0.0020294139483399863,0.0021716342131560596,0.00038761727762783303,0.009418288424965775,0.0003916258439366549,0.0016417966707121532,
p_hc1_return_temperature__mean,82.14795315265656,13,sensor_numeric,53,41,0.000969381723607965,0.00063460930367718,0.008506560649019623,0.002908285183336962,0.0002872670807453459,0.0008618012422360377,0.000682114642862619,0.008219293568274277,
s_dhw_upper_storage_temperature__min,16.38110014796257,8,sensor_numeric,85,58,0.0022178934524513137,0.0006801926165888746,-0.00027409372236958385,0.0008222811671087517,0.0002872670807453459,0.0008618012422360377,0.0019306263717059678,-0.0005613608031149297,
s_dhw_supply_temperature__first,5.648515969514847,3,sensor_numeric,100,86,0.0,0.0,0.0008160042116346578,0.0012464670224061948,0.0002872670807453459,0.0008618012422360377,-0.0002872670807453459,0.0005287371308893118,
s_hc1_supply_temperature_setpoint__std,51.21193444728851,11,sensor_numeric,65,46,0.0003301715656305104,0.0008203337355915955,0.0008160042116346578,0.0012464670224061948,0.000272813391148119,0.002726930567872121,5.73581744823914e-05,0.0005431908204865388,
p_net_supply_temperature__std,98.99098873138428,7,sensor_numeric,45,62,0.0,0.0,0.0019040098271475348,0.0012464670224061948,0.00020996865420693233,0.003935881503745626,-0.00020996865420693233,0.0016940411729406025,
configuration_type__is__sh_dhw_with_sub_circuits,112.63555812835693,6,derived_one_hot,41,65,0.0,0.0,0.00027200140387821924,0.0008160042116346579,0.0,0.0,0.0,0.00027200140387821924,
dhw_supply_temperature_gap__max_abs,83.2031774520874,14,sensor_numeric,52,38,0.0006927747467029621,0.0009281699143521657,0.0,0.0,0.0,0.0,0.0006927747467029621,0.0,
month,75.98896193504333,8,time_context,54,58,-0.0005524954941297455,0.0006766660229023676,0.001004236521477897,0.0025789974231372795,0.0,0.0,-0.0005524954941297455,0.001004236521477897,
p_net_meter_volume__std,53.786399841308594,2,sensor_numeric,62,90,0.0,0.0,0.004069678799470622,0.0013496647606884293,0.0,0.0,0.0,0.004069678799470622,
p_net_meter_heat_power__mean,51.65931922197342,3,sensor_numeric,63,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature_setpoint__mean,47.294920921325684,5,sensor_numeric,69,72,-0.00027624774706487277,0.0005524954941297455,0.0004951370468611827,0.001485411140583548,0.0,0.0,-0.00027624774706487277,0.0004951370468611827,
s_dhw_lower_storage_temperature__delta,31.390389561653137,4,sensor_numeric,74,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
season_bucket__is__autumn,30.698679447174072,4,derived_one_hot,75,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature__std,24.81987977027893,5,sensor_numeric,79,72,0.0012471575117489308,0.0008224482962158193,0.0,0.0,0.0,0.0,0.0012471575117489308,0.0,
s_dhw_supply_temperature__mean,23.619854986667633,6,sensor_numeric,80,65,0.00013848310337256643,0.0004154493101176993,-0.0006012378426171527,0.0022572582382274697,0.0,0.0,0.00013848310337256643,-0.0006012378426171527,
hc1_supply_temperature_gap__last,20.17229986190796,5,sensor_numeric,81,72,0.0,0.0,-0.0005502797632305322,0.0016403843691551701,0.0,0.0,0.0,-0.0005502797632305322,
outdoor_temperature__std,17.89056968688965,3,sensor_numeric,83,86,0.0,0.0,0.001432360742705563,0.0030425840797882278,0.0,0.0,0.0,0.001432360742705563,
p_hc1_return_temperature__max,17.58807021379471,7,sensor_numeric,84,62,-0.0005524954941297455,0.0006766660229023676,-0.00027409372236958385,0.0008222811671087517,0.0,0.0,-0.0005524954941297455,-0.00027409372236958385,
season_bucket__is__summer,15.315199851989746,1,derived_one_hot,87,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
has_dhw,11.933899879455566,1,sensor_numeric,90,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature_setpoint__last,11.134899854660034,3,sensor_numeric,91,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_hc1_return_temperature__min,9.832280158996582,1,sensor_numeric,92,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature__max,8.639070272445679,2,sensor_numeric,95,90,-0.00027624774706487277,0.0005524954941297455,0.0,0.0,0.0,0.0,-0.00027624774706487277,0.0,
p_net_return_temperature__first,7.785130262374878,2,sensor_numeric,96,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature_setpoint__last,7.047770142555237,2,sensor_numeric,97,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
configuration_type__is__sh,6.590610027313232,2,derived_one_hot,98,90,0.00012127949871140186,0.00036383849613420567,0.001088005615512877,0.0013325292976446453,0.0,0.0,0.00012127949871140186,0.001088005615512877,
is_heating_season,3.0226800441741943,1,time_context,103,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_upper_storage_temperature__delta,2.955889940261841,1,sensor_numeric,104,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
p_hc1_return_temperature__delta,2.2385199069976807,1,sensor_numeric,106,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature_setpoint__missing_count,1.8998500108718872,1,sensor_numeric,107,99,0.0,0.0,-0.00027409372236958385,0.0008222811671087517,0.0,0.0,0.0,-0.00027409372236958385,
dhw_supply_temperature_gap__last,1.1011300086975098,1,sensor_numeric,108,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dow_sin,0.0,0,cyclic_time,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hour_cos,0.0,0,cyclic_time,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hour_sin,0.0,0,cyclic_time,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
configuration_type__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
configuration_type__is__sh_with_buffer_tank,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
configuration_type__is__sh_with_sub_circuits,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_3-way_valve_status__dominant__is__ein,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_control_unit_mode__dominant__is__tag,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.1_control_unit_mode__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.1_control_unit_mode__dominant__is__nacht,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.1_control_unit_mode__dominant__is__tag,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.1_heating_pump_status__dominant__is__ein,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.1_heating_pump_status__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_control_unit_mode__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_control_unit_mode__dominant__is__nacht,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_control_unit_mode__dominant__is__standby,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_control_unit_mode__dominant__is__tag,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_dhw_control unit_mode__dominant__is__missing,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_dhw_control unit_mode__dominant__is__standby,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1.2_heating_pump_status__dominant__is__aus,0.0,0,derived_one_hot,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
