tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.15
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.2
15,0,203,682,1.0,0.06880733944954129,0.12875536480686697,0.0,21,4,0.19047619047619047,train,1.0,1.2
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.2
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.25
14,0,204,682,1.0,0.06422018348623854,0.1206896551724138,0.0,21,3,0.14285714285714285,train,1.0,1.25
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.25
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.3
13,0,205,682,1.0,0.05963302752293578,0.11255411255411256,0.0,21,3,0.14285714285714285,train,1.0,1.3
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.3
20,0,57,106,1.0,0.2597402597402597,0.4123711340206185,0.0,8,4,0.5,holdout,1.05,0.8
11,2,207,680,0.8461538461538461,0.05045871559633028,0.09523809523809525,0.002932551319648094,21,2,0.09523809523809523,train,1.05,0.8
0,0,26,143,0.0,0.0,0.0,0.0,3,0,0.0,validation,1.05,0.8
20,0,57,106,1.0,0.2597402597402597,0.4123711340206185,0.0,8,4,0.5,holdout,1.05,0.85
11,2,207,680,0.8461538461538461,0.05045871559633028,0.09523809523809525,0.002932551319648094,21,2,0.09523809523809523,train,1.05,0.85
0,0,26,143,0.0,0.0,0.0,0.0,3,0,0.0,validation,1.05,0.85
20,0,57,106,1.0,0.2597402597402597,0.4123711340206185,0.0,8,4,0.5,holdout,1.05,0.9
11,2,207,680,0.8461538461538461,0.05045871559633028,0.09523809523809525,0.002932551319648094,21,2,0.09523809523809523,train,1.05,0.9
0,0,26,143,0.0,0.0,0.0,0.0,3,0,0.0,validation,1.05,0.9
20,0,57,106,1.0,0.2597402597402597,0.4123711340206185,0.0,8,4,0.5,holdout,1.05,0.95
11,1,207,681,0.9166666666666666,0.05045871559633028,0.09565217391304348,0.001466275659824047,21,2,0.09523809523809523,train,1.05,0.95
