tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
19,5,199,677,0.7916666666666666,0.0871559633027523,0.15702479338842976,0.007331378299120235,21,5,0.23809523809523808,train,1.0,0.8
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,0.8
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,0.85
19,4,199,678,0.8260869565217391,0.0871559633027523,0.15767634854771787,0.005865102639296188,21,5,0.23809523809523808,train,1.0,0.85
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,0.85
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,0.9
19,3,199,679,0.8636363636363636,0.0871559633027523,0.15833333333333333,0.004398826979472141,21,5,0.23809523809523808,train,1.0,0.9
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,0.9
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,0.95
19,2,199,680,0.9047619047619048,0.0871559633027523,0.1589958158995816,0.002932551319648094,21,5,0.23809523809523808,train,1.0,0.95
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,0.95
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.0
18,1,200,681,0.9473684210526315,0.08256880733944955,0.1518987341772152,0.001466275659824047,21,5,0.23809523809523808,train,1.0,1.0
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.0
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.05
18,1,200,681,0.9473684210526315,0.08256880733944955,0.1518987341772152,0.001466275659824047,21,5,0.23809523809523808,train,1.0,1.05
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.05
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.1
17,0,201,682,1.0,0.0779816513761468,0.14468085106382977,0.0,21,4,0.19047619047619047,train,1.0,1.1
1,1,25,142,0.5,0.038461538461538464,0.07142857142857144,0.006993006993006993,3,1,0.3333333333333333,validation,1.0,1.1
22,0,55,106,1.0,0.2857142857142857,0.4444444444444445,0.0,8,4,0.5,holdout,1.0,1.15
16,0,202,682,1.0,0.07339449541284404,0.13675213675213677,0.0,21,4,0.19047619047619047,train,1.0,1.15
