gate,probability_column,target_definition,threshold,split,tp,fp,fn,tn,precision,recall,f1,false_positive_rate,balanced_accuracy,positive_rate,target_positive_count,native_label_available
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.65,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.65,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.65,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.7,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.7,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.7,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.75,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.75,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.75,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.8,holdout,0,0,0,183,0,0,0,0,0.5,0,0,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.8,train,0,0,1,876,0,0,0,0,0.5,0,1,True
task_gate,m1_specialist_task_probability,task_proxy_maintenance_or_disturbance,0.8,validation,0,0,0,166,0,0,0,0,0.5,0,0,True
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.3,holdout,0,0,77,106,0,0,0,0,0.5,0,77,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.3,train,0,1,195,681,0,0,0,0.00146627565982,0.49926686217,0.00114025085519,195,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.3,validation,1,0,22,143,1,0.0434782608696,0.0833333333333,0,0.521739130435,0.00602409638554,23,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.35,holdout,0,0,77,106,0,0,0,0,0.5,0,77,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.35,train,0,1,195,681,0,0,0,0.00146627565982,0.49926686217,0.00114025085519,195,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.35,validation,1,0,22,143,1,0.0434782608696,0.0833333333333,0,0.521739130435,0.00602409638554,23,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.4,holdout,0,0,77,106,0,0,0,0,0.5,0,77,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.4,train,0,0,195,682,0,0,0,0,0.5,0,195,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.4,validation,0,0,23,143,0,0,0,0,0.5,0,23,False
activity_gate,m1_specialist_activity_probability,activity_native_label_unavailable,0.45,holdout,0,0,77,106,0,0,0,0,0.5,0,77,False
