tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,variant,split,high_threshold,urgent_threshold,w_pre_event,w_leadtime,w_group
56,0,21,106,1,0.727272727273,0.842105263158,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.35_0.55,holdout,55,70,0.1,0.35,0.55
174,0,21,682,1,0.892307692308,0.943089430894,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.35_0.55,train,55,70,0.1,0.35,0.55
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.35_0.55,validation,55,70,0.1,0.35,0.55
59,0,18,106,1,0.766233766234,0.867647058824,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.40_0.50,holdout,55,70,0.1,0.4,0.5
168,0,27,682,1,0.861538461538,0.925619834711,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.40_0.50,train,55,70,0.1,0.4,0.5
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.40_0.50,validation,55,70,0.1,0.4,0.5
56,6,21,100,0.903225806452,0.727272727273,0.805755395683,0.0566037735849,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.45_0.45,holdout,57.5,72.5,0.1,0.45,0.45
156,22,39,660,0.876404494382,0.8,0.836461126005,0.0322580645161,18,18,1,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.45_0.45,train,57.5,72.5,0.1,0.45,0.45
23,3,0,140,0.884615384615,1,0.938775510204,0.020979020979,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.10_0.45_0.45,validation,57.5,72.5,0.1,0.45,0.45
51,4,26,102,0.927272727273,0.662337662338,0.772727272727,0.0377358490566,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.50_0.40,holdout,62.5,77.5,0.1,0.5,0.4
148,14,47,668,0.913580246914,0.758974358974,0.829131652661,0.0205278592375,18,18,1,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.50_0.40,train,62.5,77.5,0.1,0.5,0.4
20,2,3,141,0.909090909091,0.869565217391,0.888888888889,0.013986013986,2,2,1,1,0.434782608696,1,0.869565217391,0.666666666667,0.869565217391,grid_0.10_0.50_0.40,validation,62.5,77.5,0.1,0.5,0.4
56,15,21,91,0.788732394366,0.727272727273,0.756756756757,0.141509433962,8,8,1,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.55_0.35,holdout,62.5,77.5,0.1,0.55,0.35
149,86,46,596,0.634042553191,0.764102564103,0.693023255814,0.126099706745,18,18,1,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.55_0.35,train,62.5,77.5,0.1,0.55,0.35
20,24,3,119,0.454545454545,0.869565217391,0.597014925373,0.167832167832,2,2,1,1,0.434782608696,0.75,0.652173913043,0.666666666667,0.869565217391,grid_0.10_0.55_0.35,validation,62.5,77.5,0.1,0.55,0.35
37,1,40,105,0.973684210526,0.480519480519,0.64347826087,0.00943396226415,8,6,0.75,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.60_0.30,holdout,72.5,87.5,0.1,0.6,0.3
116,0,79,682,1,0.594871794872,0.745980707395,0,18,16,0.888888888889,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.60_0.30,train,72.5,87.5,0.1,0.6,0.3
15,0,8,143,1,0.652173913043,0.789473684211,0,2,2,1,1,0.434782608696,0.75,0.652173913043,0.5,0.652173913043,grid_0.10_0.60_0.30,validation,72.5,87.5,0.1,0.6,0.3
37,12,40,94,0.755102040816,0.480519480519,0.587301587302,0.11320754717,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.10_0.65_0.25,holdout,72.5,87.5,0.1,0.65,0.25
109,59,86,623,0.64880952381,0.558974358974,0.600550964187,0.0865102639296,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.65_0.25,train,72.5,87.5,0.1,0.65,0.25
12,9,11,134,0.571428571429,0.521739130435,0.545454545455,0.0629370629371,2,2,1,0.8,0.347826086957,0.55,0.478260869565,0.433333333333,0.565217391304,grid_0.10_0.65_0.25,validation,72.5,87.5,0.1,0.65,0.25
29,4,48,102,0.878787878788,0.376623376623,0.527272727273,0.0377358490566,8,6,0.75,1,0.12987012987,1,0.25974025974,0.9,0.350649350649,grid_0.10_0.70_0.20,holdout,80,95,0.1,0.7,0.2
74,14,121,668,0.840909090909,0.379487179487,0.52296819788,0.0205278592375,18,15,0.833333333333,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.70_0.20,train,80,95,0.1,0.7,0.2
8,3,15,140,0.727272727273,0.347826086957,0.470588235294,0.020979020979,2,2,1,0.8,0.347826086957,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.10_0.70_0.20,validation,80,95,0.1,0.7,0.2
29,8,48,98,0.783783783784,0.376623376623,0.508771929825,0.0754716981132,8,6,0.75,1,0.12987012987,0.9,0.233766233766,0.833333333333,0.324675324675,grid_0.10_0.75_0.15,holdout,82.5,95,0.1,0.75,0.15
70,34,125,648,0.673076923077,0.358974358974,0.468227424749,0.049853372434,18,15,0.833333333333,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.75_0.15,train,82.5,95,0.1,0.75,0.15
8,6,15,137,0.571428571429,0.347826086957,0.432432432432,0.041958041958,2,2,1,0.7,0.304347826087,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.10_0.75_0.15,validation,82.5,95,0.1,0.75,0.15
30,12,47,94,0.714285714286,0.38961038961,0.504201680672,0.11320754717,8,6,0.75,1,0.12987012987,0.8,0.207792207792,0.733333333333,0.285714285714,grid_0.10_0.80_0.10,holdout,85,95,0.1,0.8,0.1
63,62,132,620,0.504,0.323076923077,0.39375,0.0909090909091,18,15,0.833333333333,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.10_0.80_0.10,train,85,95,0.1,0.8,0.1
8,11,15,132,0.421052631579,0.347826086957,0.380952380952,0.0769230769231,2,2,1,0.7,0.304347826087,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.10_0.80_0.10,validation,85,95,0.1,0.8,0.1
31,14,46,92,0.688888888889,0.402597402597,0.508196721311,0.132075471698,8,6,0.75,0.9,0.116883116883,0.7,0.181818181818,0.666666666667,0.25974025974,grid_0.10_0.85_0.05,holdout,87.5,95,0.1,0.85,0.05
60,87,135,595,0.408163265306,0.307692307692,0.350877192982,0.127565982405,18,14,0.777777777778,1,0.0512820512821,1,0.102564102564,0.933333333333,0.14358974359,grid_0.10_0.85_0.05,train,87.5,95,0.1,0.85,0.05
8,27,15,116,0.228571428571,0.347826086957,0.275862068966,0.188811188811,2,2,1,0.6,0.260869565217,0.35,0.304347826087,0.266666666667,0.347826086957,grid_0.10_0.85_0.05,validation,87.5,95,0.1,0.85,0.05
19,13,58,93,0.59375,0.246753246753,0.348623853211,0.122641509434,8,6,0.75,0.6,0.0779220779221,0.6,0.155844155844,0.6,0.233766233766,grid_0.10_0.90_0.00,holdout,92.5,95,0.1,0.9,0
41,73,154,609,0.359649122807,0.210256410256,0.265372168285,0.107038123167,18,13,0.722222222222,0.8,0.0410256410256,0.65,0.0666666666667,0.533333333333,0.0820512820513,grid_0.10_0.90_0.00,train,92.5,95,0.1,0.9,0
