tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,current_best_weight,m1_specialist_weight,split,high_threshold,urgent_threshold,operating_score
59,22,136,660,0.7283950617283951,0.30256410256410254,0.427536231884058,0.03225806451612903,18,14,0.7777777777777778,0.1,0.9,train,77.5,92.5,0.566962755181549
10,6,13,137,0.625,0.43478260869565216,0.5128205128205128,0.04195804195804196,2,2,1.0,0.1,0.9,validation,77.5,92.5,0.6918414918414918
36,22,41,84,0.6206896551724138,0.4675324675324675,0.5333333333333333,0.20754716981132076,8,7,0.875,0.11,0.89,holdout,72.5,87.5,0.604559748427673
74,73,121,609,0.5034013605442177,0.37948717948717947,0.43274853801169594,0.10703812316715543,18,16,0.8888888888888888,0.11,0.89,train,72.5,87.5,0.557007254205896
12,19,11,124,0.3870967741935484,0.5217391304347826,0.4444444444444444,0.13286713286713286,2,2,1.0,0.11,0.89,validation,72.5,87.5,0.5780108780108779
38,25,39,81,0.6031746031746031,0.4935064935064935,0.5428571428571428,0.2358490566037736,8,7,0.875,0.12,0.88,holdout,70.0,85.0,0.599932614555256
83,97,112,585,0.46111111111111114,0.4256410256410256,0.4426666666666667,0.14222873900293256,18,16,0.8888888888888888,0.12,0.88,train,70.0,85.0,0.5493300749429781
13,28,10,115,0.3170731707317073,0.5652173913043478,0.40625,0.1958041958041958,2,2,1.0,0.12,0.88,validation,70.0,85.0,0.508347902097902
38,24,39,82,0.6129032258064516,0.4935064935064935,0.5467625899280575,0.22641509433962265,8,7,0.875,0.13,0.87,holdout,70.0,85.0,0.6085550427582462
85,84,110,598,0.5029585798816568,0.4358974358974359,0.46703296703296704,0.12316715542521994,18,16,0.8888888888888888,0.13,0.87,train,70.0,85.0,0.5832271670981348
13,26,10,117,0.3333333333333333,0.5652173913043478,0.4193548387096774,0.18181818181818182,2,2,1.0,0.13,0.87,validation,70.0,85.0,0.5284457478005865
38,24,39,82,0.6129032258064516,0.4935064935064935,0.5467625899280575,0.22641509433962265,8,7,0.875,0.14,0.86,holdout,70.0,85.0,0.6085550427582462
