policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,risk_threshold,pre_event_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v4,f1
risk_0.820_or_pre_0.970,holdout,row,183,0.764705882353,0.675324675325,0.150943396226,52,16,25,90,65.7298480402,0.82,0.97,8,7,0.875,False,0.71724137931
risk_0.820_or_pre_0.975,train,row,900,0.584507042254,0.380733944954,0.0865102639296,83,59,135,623,54.3770917387,0.82,0.975,21,14,0.666666666667,False,0.461111111111
risk_0.820_or_pre_0.975,validation,row,169,0.411764705882,0.269230769231,0.0699300699301,7,10,19,133,61.7793277008,0.82,0.975,3,2,0.666666666667,False,0.325581395349
risk_0.820_or_pre_0.975,holdout,row,183,0.776119402985,0.675324675325,0.141509433962,52,15,25,91,65.7298480402,0.82,0.975,8,7,0.875,False,0.722222222222
risk_0.820_or_pre_0.980,train,row,900,0.618320610687,0.371559633028,0.0733137829912,81,50,137,632,54.3770917387,0.82,0.98,21,14,0.666666666667,False,0.464183381089
risk_0.820_or_pre_0.980,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,61.7793277008,0.82,0.98,3,2,0.666666666667,False,0.292682926829
risk_0.820_or_pre_0.980,holdout,row,183,0.787878787879,0.675324675325,0.132075471698,52,14,25,92,65.7298480402,0.82,0.98,8,7,0.875,False,0.727272727273
risk_0.820_or_pre_0.985,train,row,900,0.658333333333,0.362385321101,0.0601173020528,79,41,139,641,54.3770917387,0.82,0.985,21,13,0.619047619048,False,0.467455621302
risk_0.820_or_pre_0.985,validation,row,169,0.428571428571,0.230769230769,0.0559440559441,6,8,20,135,61.7793277008,0.82,0.985,3,2,0.666666666667,False,0.3
risk_0.820_or_pre_0.985,holdout,row,183,0.8,0.675324675325,0.122641509434,52,13,25,93,65.7298480402,0.82,0.985,8,7,0.875,False,0.732394366197
risk_0.820_or_pre_0.990,train,row,900,0.681415929204,0.353211009174,0.0527859237537,77,36,141,646,54.3770917387,0.82,0.99,21,13,0.619047619048,False,0.465256797583
risk_0.820_or_pre_0.990,validation,row,169,0.5,0.230769230769,0.041958041958,6,6,20,137,61.7793277008,0.82,0.99,3,2,0.666666666667,False,0.315789473684
risk_0.820_or_pre_0.990,holdout,row,183,0.838709677419,0.675324675325,0.0943396226415,52,10,25,96,65.7298480402,0.82,0.99,8,7,0.875,False,0.748201438849
risk_0.820_or_pre_0.995,train,row,900,0.783505154639,0.348623853211,0.0307917888563,76,21,142,661,54.3770917387,0.82,0.995,21,13,0.619047619048,False,0.48253968254
risk_0.820_or_pre_0.995,validation,row,169,0.375,0.115384615385,0.034965034965,3,5,23,138,61.7793277008,0.82,0.995,3,1,0.333333333333,False,0.176470588235
risk_0.820_or_pre_0.995,holdout,row,183,0.85,0.662337662338,0.0849056603774,51,9,26,97,65.7298480402,0.82,0.995,8,7,0.875,False,0.744525547445
risk_0.850_or_pre_0.950,train,row,900,0.517045454545,0.417431192661,0.124633431085,91,85,127,597,54.3770917387,0.85,0.95,21,16,0.761904761905,False,0.46192893401
risk_0.850_or_pre_0.950,validation,row,169,0.363636363636,0.307692307692,0.0979020979021,8,14,18,129,61.7793277008,0.85,0.95,3,2,0.666666666667,False,0.333333333333
risk_0.850_or_pre_0.950,holdout,row,183,0.753846153846,0.636363636364,0.150943396226,49,16,28,90,65.7298480402,0.85,0.95,8,7,0.875,False,0.69014084507
