policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,pre_event_threshold,leadtime_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v3,f1
pre_0.965_or_lead_0.990,validation,row,169,0.4,0.153846153846,0.041958041958,4,6,22,137,81.5262484076,0.965,0.99,3,1,0.333333333333,False,0.222222222222
pre_0.965_or_lead_0.990,holdout,row,183,0.659090909091,0.376623376623,0.141509433962,29,15,48,91,84.2031323091,0.965,0.99,8,4,0.5,False,0.479338842975
pre_0.970_or_lead_0.940,train,row,900,0.297709923664,0.178899082569,0.134897360704,39,92,179,590,85.6143557464,0.97,0.94,21,14,0.666666666667,False,0.223495702006
pre_0.970_or_lead_0.940,validation,row,169,0.25,0.153846153846,0.0839160839161,4,12,22,131,85.7006700218,0.97,0.94,3,1,0.333333333333,False,0.190476190476
pre_0.970_or_lead_0.940,holdout,row,183,0.703703703704,0.493506493506,0.150943396226,38,16,39,90,87.6210682952,0.97,0.94,8,6,0.75,False,0.580152671756
pre_0.970_or_lead_0.945,train,row,900,0.299212598425,0.174311926606,0.130498533724,38,89,180,593,85.2411643093,0.97,0.945,21,14,0.666666666667,False,0.220289855072
pre_0.970_or_lead_0.945,validation,row,169,0.285714285714,0.153846153846,0.0699300699301,4,10,22,133,85.3093238134,0.97,0.945,3,1,0.333333333333,False,0.2
pre_0.970_or_lead_0.945,holdout,row,183,0.703703703704,0.493506493506,0.150943396226,38,16,39,90,87.3022781391,0.97,0.945,8,6,0.75,False,0.580152671756
pre_0.970_or_lead_0.950,train,row,900,0.295081967213,0.165137614679,0.126099706745,36,86,182,596,84.8700005117,0.97,0.95,21,13,0.619047619048,False,0.211764705882
pre_0.970_or_lead_0.950,validation,row,169,0.307692307692,0.153846153846,0.0629370629371,4,9,22,134,84.9217498489,0.97,0.95,3,1,0.333333333333,False,0.205128205128
pre_0.970_or_lead_0.950,holdout,row,183,0.716981132075,0.493506493506,0.141509433962,38,15,39,91,86.9852812509,0.97,0.95,8,6,0.75,False,0.584615384615
pre_0.970_or_lead_0.955,train,row,900,0.286956521739,0.151376146789,0.120234604106,33,82,185,600,84.4993126771,0.97,0.955,21,12,0.571428571429,False,0.198198198198
pre_0.970_or_lead_0.955,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,84.5364965153,0.97,0.955,3,1,0.333333333333,False,0.210526315789
pre_0.970_or_lead_0.955,holdout,row,183,0.711538461538,0.480519480519,0.141509433962,37,15,40,91,86.6738058411,0.97,0.955,8,6,0.75,False,0.573643410853
pre_0.970_or_lead_0.960,train,row,900,0.285714285714,0.146788990826,0.117302052786,32,80,186,602,84.1300552679,0.97,0.96,21,12,0.571428571429,False,0.193939393939
pre_0.970_or_lead_0.960,validation,row,169,0.363636363636,0.153846153846,0.048951048951,4,7,22,136,84.1519516604,0.97,0.96,3,1,0.333333333333,False,0.216216216216
