model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
risk_lgbm,validation,69,100,0.03,31,-1,50,0.8,0.8,0.1,1.0,balanced,0.7881944444444444,0.8051714004272629,0.6403508771929824,0.5104895104895105,0.5680933852140078,0.1423611111111111,114,73,41,143,431
risk_lgbm,holdout,69,100,0.03,31,-1,50,0.8,0.8,0.1,1.0,balanced,0.6039991306237774,0.3633950929229842,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.205607476635514,86,42,44,86,300
risk_lgbm,validation,70,100,0.03,31,-1,50,0.8,0.9,0.1,1.0,balanced,0.7993638306138307,0.8134775192651306,0.6166666666666667,0.5174825174825175,0.5627376425855514,0.1597222222222222,120,74,46,143,431
risk_lgbm,holdout,70,100,0.03,31,-1,50,0.8,0.9,0.1,1.0,balanced,0.6245381438817648,0.37507413099670056,0.4777777777777778,0.5,0.48863636363636365,0.21962616822429906,90,43,47,86,300
risk_lgbm,validation,71,100,0.03,31,-1,50,0.9,0.8,0.1,1.0,balanced,0.7881944444444444,0.8051714004272629,0.6403508771929824,0.5104895104895105,0.5680933852140078,0.1423611111111111,114,73,41,143,431
risk_lgbm,holdout,71,100,0.03,31,-1,50,0.9,0.8,0.1,1.0,balanced,0.6039991306237774,0.3633950929229842,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.205607476635514,86,42,44,86,300
risk_lgbm,validation,72,100,0.03,31,-1,50,0.9,0.9,0.1,1.0,balanced,0.7993638306138307,0.8134775192651306,0.6166666666666667,0.5174825174825175,0.5627376425855514,0.1597222222222222,120,74,46,143,431
risk_lgbm,holdout,72,100,0.03,31,-1,50,0.9,0.9,0.1,1.0,balanced,0.6245381438817648,0.37507413099670056,0.4777777777777778,0.5,0.48863636363636365,0.21962616822429906,90,43,47,86,300
risk_lgbm,validation,73,100,0.05,7,3,30,0.8,0.8,0.1,1.0,balanced,0.744415306915307,0.7114788649458971,0.45774647887323944,0.45454545454545453,0.45614035087719296,0.2673611111111111,142,65,77,143,431
risk_lgbm,holdout,73,100,0.05,7,3,30,0.8,0.8,0.1,1.0,balanced,0.5296131275809606,0.29835568159394055,0.3263157894736842,0.36046511627906974,0.3425414364640884,0.29906542056074764,95,31,64,86,300
risk_lgbm,validation,74,100,0.05,7,3,30,0.8,0.9,0.1,1.0,balanced,0.7528166278166277,0.7301984527270614,0.45774647887323944,0.45454545454545453,0.45614035087719296,0.2673611111111111,142,65,77,143,431
risk_lgbm,holdout,74,100,0.05,7,3,30,0.8,0.9,0.1,1.0,balanced,0.5218430775918279,0.29590217077669645,0.313953488372093,0.313953488372093,0.313953488372093,0.2757009345794392,86,27,59,86,300
risk_lgbm,validation,75,100,0.05,7,3,30,0.9,0.8,0.1,1.0,balanced,0.744415306915307,0.7114788649458971,0.45774647887323944,0.45454545454545453,0.45614035087719296,0.2673611111111111,142,65,77,143,431
risk_lgbm,holdout,75,100,0.05,7,3,30,0.9,0.8,0.1,1.0,balanced,0.5296131275809606,0.29835568159394055,0.3263157894736842,0.36046511627906974,0.3425414364640884,0.29906542056074764,95,31,64,86,300
