candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
52,validation,450,0.015,31,-1,45,1.0,1.0,0.1,2.0,balanced,143,0.46853146853146854,0.3487761704205579,0.4219698997212274,0.7902097902097902,0.6643356643356644
52,holdout,450,0.015,31,-1,45,1.0,1.0,0.1,2.0,balanced,86,0.6511627906976745,0.4405430711610487,0.6431767703161746,0.9651162790697675,0.38372093023255816
53,validation,240,0.015,63,5,10,0.85,1.0,0.1,2.0,,143,0.45454545454545453,0.31866283402533807,0.41231448206855426,0.7902097902097902,0.6783216783216783
53,holdout,240,0.015,63,5,10,0.85,1.0,0.1,2.0,,86,0.6395348837209303,0.4108480064764217,0.6135891896471385,0.9651162790697675,0.3953488372093023
54,validation,450,0.06,7,4,5,1.0,0.85,0.5,2.0,balanced,143,0.40559440559440557,0.3024181205999388,0.3607081623610549,0.7902097902097902,0.7342657342657343
54,holdout,450,0.06,7,4,5,1.0,0.85,0.5,2.0,balanced,86,0.6511627906976745,0.4412671712924026,0.6430066305474603,0.9651162790697675,0.38372093023255816
55,validation,450,0.04,63,3,10,0.7,1.0,0.5,1.0,balanced,143,0.43356643356643354,0.31789819376026274,0.39646215853112404,0.7902097902097902,0.6993006993006993
55,holdout,450,0.04,63,3,10,0.7,1.0,0.5,1.0,balanced,86,0.5813953488372093,0.3919413919413919,0.5748786097623306,0.9651162790697675,0.45348837209302323
56,validation,240,0.04,63,-1,20,1.0,0.85,0.0,0.5,balanced,143,0.4405594405594406,0.32679259123418297,0.39987483633183246,0.7902097902097902,0.6923076923076923
56,holdout,240,0.04,63,-1,20,1.0,0.85,0.0,0.5,balanced,86,0.6627906976744186,0.44692264257481645,0.654104237521831,0.9651162790697675,0.37209302325581395
57,validation,450,0.025,31,3,10,0.85,0.7,0.1,1.0,balanced,143,0.46853146853146854,0.347035315227143,0.42640745601352403,0.7902097902097902,0.6713286713286714
57,holdout,450,0.025,31,3,10,0.85,0.7,0.1,1.0,balanced,86,0.6162790697674418,0.4172278338945006,0.6090360974081904,0.9651162790697675,0.4186046511627907
58,validation,180,0.025,63,4,10,1.0,0.7,0.1,5.0,balanced,143,0.4195804195804196,0.3140526283506103,0.3803581562276281,0.7902097902097902,0.7482517482517482
58,holdout,180,0.025,63,4,10,1.0,0.7,0.1,5.0,balanced,86,0.6744186046511628,0.45751633986928103,0.6652986776105791,0.9651162790697675,0.36046511627906974
59,validation,120,0.04,7,4,30,1.0,0.85,0.1,1.0,balanced,143,0.42657342657342656,0.31781754083912356,0.37718034286933017,0.7902097902097902,0.7202797202797203
59,holdout,120,0.04,7,4,30,1.0,0.85,0.1,1.0,balanced,86,0.6511627906976745,0.4419191919191919,0.6403276955602536,0.9651162790697675,0.38372093023255816
60,validation,120,0.025,15,5,10,0.7,1.0,0.0,0.5,,143,0.48951048951048953,0.33192042880531075,0.4327872894111204,0.7902097902097902,0.6223776223776224
60,holdout,120,0.025,15,5,10,0.7,1.0,0.0,0.5,,86,0.6511627906976745,0.42777287437481615,0.6338184281286562,0.9651162790697675,0.38372093023255816
61,validation,180,0.04,63,5,30,0.7,0.85,0.1,2.0,balanced,143,0.43356643356643354,0.3231805326659749,0.3954704881275107,0.7902097902097902,0.7202797202797203
61,holdout,180,0.04,63,5,30,0.7,0.85,0.1,2.0,balanced,86,0.686046511627907,0.4652096759129541,0.6769663836525116,0.9651162790697675,0.3488372093023256
62,validation,240,0.015,63,3,20,0.85,0.7,0.5,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4104020979020979,0.7902097902097902,0.7132867132867133
62,holdout,240,0.015,63,3,20,0.85,0.7,0.5,1.0,balanced,86,0.6976744186046512,0.4721910112359551,0.6886105304415991,0.9651162790697675,0.3372093023255814
63,validation,120,0.04,15,5,30,1.0,0.7,0.0,0.5,,143,0.46153846153846156,0.33233233233233234,0.4207459207459207,0.7902097902097902,0.6713286713286714
63,holdout,120,0.04,15,5,30,1.0,0.7,0.0,0.5,,86,0.6976744186046512,0.47019430296170533,0.6878528842737,0.9651162790697675,0.3372093023255814
64,validation,180,0.06,7,4,5,0.7,0.7,0.1,0.5,,143,0.45454545454545453,0.3233172056701468,0.4107496781293573,0.7902097902097902,0.6573426573426573
64,holdout,180,0.06,7,4,5,0.7,0.7,0.1,0.5,,86,0.6627906976744186,0.44692264257481645,0.654104237521831,0.9651162790697675,0.37209302325581395
