model,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
isolation_forest,holdout,600,auto,0.75,False,0.9,0.48873914949829733,0.7161294039696943,0.678824690467946,0.967741935483871,0.22556390977443608,0.36585365853658536,0.0038314176245210726,31,30,1,133,394
isolation_forest,validation,600,auto,0.75,False,0.92,0.497403427918918,0.6237161531279178,0.46835857812969545,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,600,auto,0.75,False,0.92,0.497403427918918,0.7161294039696943,0.678824690467946,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,600,auto,0.75,False,0.95,0.5111937329660604,0.6237161531279178,0.46835857812969545,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,0.75,False,0.95,0.5111937329660604,0.7161294039696943,0.678824690467946,1.0,0.16541353383458646,0.2838709677419355,0.0,22,22,0,133,394
isolation_forest,validation,600,auto,0.75,False,0.99,0.540412620630692,0.6237161531279178,0.46835857812969545,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,0.75,False,0.99,0.540412620630692,0.7161294039696943,0.678824690467946,1.0,0.11278195488721804,0.20270270270270271,0.0,15,15,0,133,394
isolation_forest,validation,600,auto,0.75,True,0.9,0.4957794169264862,0.6290763218867794,0.48893221664374964,1.0,0.025210084033613446,0.04918032786885246,0.0,3,3,0,119,362
isolation_forest,holdout,600,auto,0.75,True,0.9,0.4957794169264862,0.7148042520093336,0.6699177858340698,0.9655172413793104,0.21052631578947367,0.345679012345679,0.0038314176245210726,29,28,1,133,394
isolation_forest,validation,600,auto,0.75,True,0.92,0.5043714393350861,0.6290763218867794,0.48893221664374964,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,600,auto,0.75,True,0.92,0.5043714393350861,0.7148042520093336,0.6699177858340698,1.0,0.17293233082706766,0.2948717948717949,0.0,23,23,0,133,394
isolation_forest,validation,600,auto,0.75,True,0.95,0.5229233654977827,0.6290763218867794,0.48893221664374964,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,0.75,True,0.95,0.5229233654977827,0.7148042520093336,0.6699177858340698,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
isolation_forest,validation,600,auto,0.75,True,0.99,0.5442623804534223,0.6290763218867794,0.48893221664374964,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,0.75,True,0.99,0.5442623804534223,0.7148042520093336,0.6699177858340698,1.0,0.12030075187969924,0.21476510067114093,0.0,16,16,0,133,394
isolation_forest,validation,600,auto,1.0,False,0.9,0.4915182754420046,0.6010996991389148,0.4464882398987019,1.0,0.025210084033613446,0.04918032786885246,0.0,3,3,0,119,362
isolation_forest,holdout,600,auto,1.0,False,0.9,0.4915182754420046,0.7078328003917841,0.6752371280156284,1.0,0.21052631578947367,0.34782608695652173,0.0,28,28,0,133,394
isolation_forest,validation,600,auto,1.0,False,0.92,0.5002234805950344,0.6010996991389148,0.4464882398987019,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,600,auto,1.0,False,0.92,0.5002234805950344,0.7078328003917841,0.6752371280156284,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,600,auto,1.0,False,0.95,0.5124087872258674,0.6010996991389148,0.4464882398987019,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,1.0,False,0.95,0.5124087872258674,0.7078328003917841,0.6752371280156284,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
isolation_forest,validation,600,auto,1.0,False,0.99,0.5354055589400211,0.6010996991389148,0.4464882398987019,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,1.0,False,0.99,0.5354055589400211,0.7078328003917841,0.6752371280156284,1.0,0.12781954887218044,0.22666666666666666,0.0,17,17,0,133,394
isolation_forest,validation,600,auto,1.0,True,0.9,0.49723462953789854,0.6216758308261576,0.4662561913960705,1.0,0.03361344537815126,0.06504065040650407,0.0,4,4,0,119,362
isolation_forest,holdout,600,auto,1.0,True,0.9,0.49723462953789854,0.7013798864978538,0.6651899356893152,1.0,0.21804511278195488,0.35802469135802467,0.0,29,29,0,133,394
isolation_forest,validation,600,auto,1.0,True,0.92,0.5071537481311175,0.6216758308261576,0.4662561913960705,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
isolation_forest,holdout,600,auto,1.0,True,0.92,0.5071537481311175,0.7013798864978538,0.6651899356893152,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,600,auto,1.0,True,0.95,0.5206645510177249,0.6216758308261576,0.4662561913960705,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,1.0,True,0.95,0.5206645510177249,0.7013798864978538,0.6651899356893152,1.0,0.15789473684210525,0.2727272727272727,0.0,21,21,0,133,394
isolation_forest,validation,600,auto,1.0,True,0.99,0.5447338855606652,0.6216758308261576,0.4662561913960705,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,auto,1.0,True,0.99,0.5447338855606652,0.7013798864978538,0.6651899356893152,1.0,0.12781954887218044,0.22666666666666666,0.0,17,17,0,133,394
isolation_forest,validation,600,0.75,0.75,False,0.9,0.4767514112598634,0.6276238890617976,0.45116588945669317,0.7272727272727273,0.06722689075630252,0.12307692307692308,0.012345679012345678,11,8,3,119,362
isolation_forest,holdout,600,0.75,0.75,False,0.9,0.4767514112598634,0.7163886728315039,0.6986042610662578,0.9148936170212766,0.3233082706766917,0.4777777777777778,0.01532567049808429,47,43,4,133,394
isolation_forest,validation,600,0.75,0.75,False,0.92,0.48548410302356737,0.6276238890617976,0.45116588945669317,0.625,0.04201680672268908,0.07874015748031496,0.012345679012345678,8,5,3,119,362
isolation_forest,holdout,600,0.75,0.75,False,0.92,0.48548410302356737,0.7163886728315039,0.6986042610662578,0.9428571428571428,0.24812030075187969,0.39285714285714285,0.007662835249042145,35,33,2,133,394
isolation_forest,validation,600,0.75,0.75,False,0.95,0.4938041062793586,0.6276238890617976,0.45116588945669317,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,600,0.75,0.75,False,0.95,0.4938041062793586,0.7163886728315039,0.6986042610662578,1.0,0.19548872180451127,0.3270440251572327,0.0,26,26,0,133,394
isolation_forest,validation,600,0.75,0.75,False,0.99,0.5235552838681231,0.6276238890617976,0.45116588945669317,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,600,0.75,0.75,False,0.99,0.5235552838681231,0.7163886728315039,0.6986042610662578,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
isolation_forest,validation,600,0.75,0.75,True,0.9,0.5016541996570053,0.6322924231420963,0.4563003336912769,0.6666666666666666,0.03361344537815126,0.064,0.00823045267489712,6,4,2,119,362
isolation_forest,holdout,600,0.75,0.75,True,0.9,0.5016541996570053,0.7158989427591969,0.690721581138418,0.926829268292683,0.2857142857142857,0.4367816091954023,0.011494252873563218,41,38,3,133,394
