candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
41,holdout,400,0.04,5,2,20,0.95,0.95,0.0,2.0,,0.5922625516192133,0.37394356387514865,0.45161290322580644,0.16279069767441862,0.23931623931623933,0.0794392523364486,31,14,17,86,300
42,validation,80,0.08,11,2,90,1.0,1.0,0.1,2.0,,0.8006507381507382,0.80767656960839,0.855072463768116,0.4125874125874126,0.5566037735849056,0.034722222222222224,69,59,10,143,431
42,holdout,80,0.08,11,2,90,1.0,1.0,0.1,2.0,,0.6141599652249512,0.364502841142179,0.3888888888888889,0.08139534883720931,0.1346153846153846,0.0514018691588785,18,7,11,86,300
43,validation,260,0.08,5,3,120,0.95,0.8,0.1,0.5,balanced,0.7775106837606837,0.7887520513289835,0.675,0.5664335664335665,0.6159695817490495,0.13541666666666666,120,81,39,143,431
43,holdout,260,0.08,5,3,120,0.95,0.8,0.1,0.5,balanced,0.5810693327537493,0.3681472918228086,0.3787878787878788,0.29069767441860467,0.32894736842105265,0.19158878504672897,66,25,41,86,300
44,validation,180,0.025,15,3,40,0.65,0.65,0.1,5.0,balanced,0.7293123543123543,0.6795099002079534,0.4806201550387597,0.43356643356643354,0.45588235294117646,0.2326388888888889,129,62,67,143,431
44,holdout,180,0.025,15,3,40,0.65,0.65,0.1,5.0,balanced,0.5184199087154966,0.29792895927723745,0.29411764705882354,0.23255813953488372,0.2597402597402597,0.22429906542056074,68,20,48,86,300
45,validation,120,0.08,7,5,90,0.95,0.95,0.5,2.0,,0.7592511655011656,0.7719092188897796,0.8051948051948052,0.43356643356643354,0.5636363636363636,0.052083333333333336,77,62,15,143,431
45,holdout,120,0.08,7,5,90,0.95,0.95,0.5,2.0,,0.5314062160399913,0.3212108902499682,0.32,0.09302325581395349,0.14414414414414414,0.0794392523364486,25,8,17,86,300
46,validation,120,0.04,15,4,90,0.65,0.95,0.5,1.0,balanced,0.7427884615384617,0.7606954673433666,0.47244094488188976,0.4195804195804196,0.4444444444444444,0.2326388888888889,127,60,67,143,431
46,holdout,120,0.04,15,4,90,0.65,0.95,0.5,1.0,balanced,0.5310258639426212,0.3445912312366673,0.3283582089552239,0.2558139534883721,0.2875816993464052,0.2102803738317757,67,22,45,86,300
47,validation,80,0.08,7,4,40,1.0,0.8,0.5,0.5,balanced,0.788510101010101,0.8037527988157487,0.7117117117117117,0.5524475524475524,0.6220472440944882,0.1111111111111111,111,79,32,143,431
47,holdout,80,0.08,7,4,40,1.0,0.8,0.5,0.5,balanced,0.5915018474244729,0.37033893114996513,0.36486486486486486,0.313953488372093,0.3375,0.21962616822429906,74,27,47,86,300
48,validation,120,0.015,63,3,40,1.0,0.95,1.0,0.5,,0.8353365384615383,0.8112603623475376,0.7391304347826086,0.35664335664335667,0.4811320754716981,0.0625,69,51,18,143,431
48,holdout,120,0.015,63,3,40,1.0,0.95,1.0,0.5,,0.6784394696805043,0.45738025256297077,0.7058823529411765,0.13953488372093023,0.23300970873786409,0.02336448598130841,17,12,5,86,300
49,validation,400,0.015,63,2,60,0.8,0.65,0.1,1.0,,0.7730914918414918,0.7754323348723858,1.0,0.32167832167832167,0.48677248677248675,0.0,46,46,0,143,431
49,holdout,400,0.015,63,2,60,0.8,0.65,0.1,1.0,,0.6187241903933928,0.38159675881231947,0.6551724137931034,0.22093023255813954,0.33043478260869563,0.04672897196261682,29,19,10,86,300
50,validation,120,0.08,7,2,90,0.95,1.0,0.0,0.5,,0.7939491064491064,0.7982865057383143,0.8676470588235294,0.4125874125874126,0.5592417061611374,0.03125,68,59,9,143,431
50,holdout,120,0.08,7,2,90,0.95,1.0,0.0,0.5,,0.5816670289067594,0.35215115449841583,0.4375,0.08139534883720931,0.13725490196078433,0.04205607476635514,16,7,9,86,300
51,validation,80,0.04,31,5,90,0.95,0.95,0.1,5.0,balanced,0.7440268065268065,0.7594106617051836,0.46616541353383456,0.43356643356643354,0.4492753623188406,0.2465277777777778,133,62,71,143,431
51,holdout,80,0.04,31,5,90,0.95,0.95,0.1,5.0,balanced,0.44740273853510104,0.2917695295593492,0.2807017543859649,0.18604651162790697,0.22377622377622378,0.19158878504672897,57,16,41,86,300
52,validation,80,0.04,15,2,120,1.0,0.95,0.0,5.0,balanced,0.7541520979020979,0.7046748675013388,0.4375,0.4405594405594406,0.43902439024390244,0.28125,144,63,81,143,431
52,holdout,80,0.04,15,2,120,1.0,0.95,0.0,5.0,balanced,0.6454031732232124,0.42699703281299584,0.45794392523364486,0.5697674418604651,0.5077720207253886,0.27102803738317754,107,49,58,86,300
53,validation,180,0.015,11,3,40,0.65,0.95,1.0,2.0,,0.7952845765345766,0.7789421373400741,0.7230769230769231,0.32867132867132864,0.4519230769230769,0.0625,65,47,18,143,431
53,holdout,180,0.015,11,3,40,0.65,0.95,1.0,2.0,,0.6683873071071507,0.39420047852859796,0.4666666666666667,0.08139534883720931,0.13861386138613863,0.037383177570093455,15,7,8,86,300
54,validation,80,0.04,15,-1,40,0.65,0.95,0.1,2.0,balanced,0.7964015151515152,0.8064282975763606,0.6333333333333333,0.5314685314685315,0.5779467680608364,0.1527777777777778,120,76,44,143,431
54,holdout,80,0.04,15,-1,40,0.65,0.95,0.1,2.0,balanced,0.569278417735275,0.3332106134053946,0.3645833333333333,0.4069767441860465,0.38461538461538464,0.2850467289719626,96,35,61,86,300
55,validation,120,0.08,31,-1,20,0.8,0.95,0.0,1.0,balanced,0.8037101787101788,0.8235983580702394,0.8110236220472441,0.7202797202797203,0.762962962962963,0.08333333333333333,127,103,24,143,431
55,holdout,120,0.08,31,-1,20,0.8,0.95,0.0,1.0,balanced,0.5275483590523798,0.29929920891567485,0.2,0.12790697674418605,0.15602836879432624,0.205607476635514,55,11,44,86,300
56,validation,400,0.06,5,-1,40,0.8,0.8,0.1,2.0,balanced,0.7611208236208237,0.7720555422904,0.6923076923076923,0.5034965034965035,0.582995951417004,0.1111111111111111,104,72,32,143,431
56,holdout,400,0.06,5,-1,40,0.8,0.8,0.1,2.0,balanced,0.6438274288198218,0.41655912336202106,0.40350877192982454,0.26744186046511625,0.32167832167832167,0.1588785046728972,57,23,34,86,300
57,validation,120,0.08,11,3,90,1.0,0.8,0.1,5.0,,0.7948232323232323,0.8055165332053125,0.9315068493150684,0.4755244755244755,0.6296296296296297,0.017361111111111112,73,68,5,143,431
57,holdout,120,0.08,11,3,90,1.0,0.8,0.1,5.0,,0.5743860030428168,0.33898921176636754,0.4375,0.08139534883720931,0.13725490196078433,0.04205607476635514,16,7,9,86,300
58,validation,260,0.025,11,-1,60,1.0,0.8,1.0,0.5,,0.7870775058275059,0.8140318015938124,0.9285714285714286,0.45454545454545453,0.6103286384976526,0.017361111111111112,70,65,5,143,431
58,holdout,260,0.025,11,-1,60,1.0,0.8,1.0,0.5,,0.5882416865898717,0.339364785085875,0.2777777777777778,0.05813953488372093,0.09615384615384616,0.06074766355140187,18,5,13,86,300
59,validation,120,0.04,7,3,90,0.8,1.0,0.5,2.0,balanced,0.7380778943278943,0.728060217534942,0.45588235294117646,0.43356643356643354,0.4444444444444444,0.2569444444444444,136,62,74,143,431
59,holdout,120,0.04,7,3,90,0.8,1.0,0.5,2.0,balanced,0.5209737013692675,0.33573599753792843,0.29411764705882354,0.23255813953488372,0.2597402597402597,0.22429906542056074,68,20,48,86,300
60,validation,400,0.04,5,3,20,1.0,1.0,1.0,5.0,balanced,0.7670211732711733,0.7568870884728074,0.6173913043478261,0.4965034965034965,0.5503875968992248,0.1527777777777778,115,71,44,143,431
60,holdout,400,0.04,5,3,20,1.0,1.0,1.0,5.0,balanced,0.5744403390567268,0.3530227568121844,0.37681159420289856,0.3023255813953488,0.33548387096774196,0.20093457943925233,69,26,43,86,300
61,validation,80,0.025,7,2,60,1.0,1.0,0.5,1.0,balanced,0.7829132672882674,0.7547542697056402,0.45394736842105265,0.4825174825174825,0.46779661016949153,0.2881944444444444,152,69,83,143,431
61,holdout,80,0.025,7,2,60,1.0,1.0,0.5,1.0,balanced,0.6477124538143881,0.38316476045684744,0.504950495049505,0.5930232558139535,0.5454545454545454,0.2336448598130841,101,51,50,86,300
62,validation,260,0.08,63,4,90,1.0,1.0,0.5,5.0,balanced,0.7427156177156177,0.7385711473635539,0.6448598130841121,0.4825174825174825,0.552,0.13194444444444445,107,69,38,143,431
62,holdout,260,0.08,63,4,90,1.0,1.0,0.5,5.0,balanced,0.5969897848293849,0.38296516503998435,0.2962962962962963,0.18604651162790697,0.22857142857142856,0.17757009345794392,54,16,38,86,300
63,validation,180,0.04,15,3,40,1.0,0.65,1.0,1.0,,0.7621891996891997,0.7623241743546448,0.7528089887640449,0.46853146853146854,0.5775862068965517,0.0763888888888889,89,67,22,143,431
63,holdout,180,0.04,15,3,40,1.0,0.65,1.0,1.0,,0.6603455770484676,0.4052833500448585,0.55,0.2558139534883721,0.3492063492063492,0.08411214953271028,40,22,18,86,300
64,validation,180,0.08,15,-1,40,0.8,0.95,0.0,5.0,,0.7544677544677545,0.7638584820064724,0.8717948717948718,0.4755244755244755,0.6153846153846154,0.034722222222222224,78,68,10,143,431
64,holdout,180,0.08,15,-1,40,0.8,0.95,0.0,5.0,,0.5648772006085634,0.33920944496961397,0.3181818181818182,0.16279069767441862,0.2153846153846154,0.14018691588785046,44,14,30,86,300
65,validation,80,0.06,11,4,40,0.8,0.65,0.5,1.0,,0.782658313908314,0.8027066731864412,0.7468354430379747,0.4125874125874126,0.5315315315315315,0.06944444444444445,79,59,20,143,431
65,holdout,80,0.06,11,4,40,0.8,0.65,0.5,1.0,,0.6603455770484677,0.40169953237064965,0.6875,0.2558139534883721,0.3728813559322034,0.04672897196261682,32,22,10,86,300
66,validation,180,0.015,11,2,20,0.8,1.0,0.5,2.0,balanced,0.7709547397047398,0.7405044271709855,0.42953020134228187,0.44755244755244755,0.4383561643835616,0.2951388888888889,149,64,85,143,431
66,holdout,180,0.015,11,2,20,0.8,1.0,0.5,2.0,balanced,0.605629211041078,0.3285932951999322,0.43564356435643564,0.5116279069767442,0.47058823529411764,0.26635514018691586,101,44,57,86,300
67,validation,80,0.04,5,-1,60,1.0,0.65,0.0,5.0,,0.7904768842268841,0.7720093508580178,1.0,0.3006993006993007,0.46236559139784944,0.0,43,43,0,143,431
67,holdout,80,0.04,5,-1,60,1.0,0.65,0.0,5.0,,0.6513257987394044,0.3702747391357999,0.875,0.08139534883720931,0.14893617021276595,0.004672897196261682,8,7,1,86,300
68,validation,260,0.015,5,4,40,0.65,0.95,0.5,0.5,,0.801694832944833,0.8145900710947932,0.9206349206349206,0.40559440559440557,0.5631067961165048,0.017361111111111112,63,58,5,143,431
68,holdout,260,0.015,5,4,40,0.65,0.95,0.5,0.5,,0.6269289284938058,0.3613302894240392,0.5,0.05813953488372093,0.10416666666666667,0.02336448598130841,10,5,5,86,300
69,validation,120,0.06,5,2,20,1.0,0.8,0.5,5.0,,0.7766851204351205,0.7815934352979742,0.9622641509433962,0.35664335664335667,0.5204081632653061,0.006944444444444444,53,51,2,143,431
69,holdout,120,0.06,5,2,20,1.0,0.8,0.5,5.0,,0.6238317757009346,0.38297681375122916,0.6,0.13953488372093023,0.22641509433962265,0.037383177570093455,20,12,8,86,300
70,validation,400,0.04,15,-1,60,0.65,1.0,1.0,1.0,,0.775398212898213,0.7840708962134721,0.9315068493150684,0.4755244755244755,0.6296296296296297,0.017361111111111112,73,68,5,143,431
70,holdout,400,0.04,15,-1,60,0.65,1.0,1.0,1.0,,0.5608019995653118,0.31862668228057606,0.1875,0.06976744186046512,0.1016949152542373,0.12149532710280374,32,6,26,86,300
71,validation,260,0.04,5,-1,120,1.0,0.95,0.5,0.5,,0.7841394716394716,0.7902925340449695,0.7926829268292683,0.45454545454545453,0.5777777777777777,0.059027777777777776,82,65,17,143,431
71,holdout,260,0.04,5,-1,120,1.0,0.95,0.5,0.5,,0.586231254075201,0.36474871956394106,0.3870967741935484,0.13953488372093023,0.20512820512820512,0.08878504672897196,31,12,19,86,300
72,validation,260,0.025,63,3,90,0.8,1.0,0.1,0.5,,0.7911567599067599,0.7925219358459498,0.9230769230769231,0.4195804195804196,0.5769230769230769,0.017361111111111112,65,60,5,143,431
72,holdout,260,0.025,63,3,90,0.8,1.0,0.1,0.5,,0.6213866550749837,0.42523763193067765,0.5625,0.20930232558139536,0.3050847457627119,0.06542056074766354,32,18,14,86,300
