feature_set,param_set,feature_count,evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
contract_195_full,trees_600,195,split_time_based,train,0.99,0.5354055589400211,1770,1263,507,0.6183595927794722,0.40344755532972176,0.5806451612903226,0.03550295857988166,0.06691449814126393,0.010292953285827395
contract_195_full,trees_600,195,split_time_based,validation,0.95,0.5124087872258674,362,243,119,0.6010996991389148,0.4464882398987019,0.0,0.0,0.0,0.0
contract_195_full,trees_600,195,split_time_based,validation,0.975,0.5248971218675281,362,243,119,0.6010996991389148,0.4464882398987019,0.0,0.0,0.0,0.0
contract_195_full,trees_600,195,split_time_based,validation,0.99,0.5354055589400211,362,243,119,0.6010996991389148,0.4464882398987019,0.0,0.0,0.0,0.0
contract_195_full,trees_600,195,split_time_based,holdout,0.95,0.5124087872258674,394,261,133,0.7078328003917841,0.6752371280156284,1.0,0.15789473684210525,0.2727272727272727,0.0
contract_195_full,trees_600,195,split_time_based,holdout,0.975,0.5248971218675281,394,261,133,0.7078328003917841,0.6752371280156284,1.0,0.14285714285714285,0.25,0.0
contract_195_full,trees_600,195,split_time_based,holdout,0.99,0.5354055589400211,394,261,133,0.7078328003917841,0.6752371280156284,1.0,0.12781954887218044,0.22666666666666666,0.0
contract_195_full,trees_600,195,split_substation_based,train,0.95,0.5124087872258674,2021,1380,641,0.652795677044473,0.4988419511026341,0.6495726495726496,0.11856474258970359,0.20052770448548812,0.029710144927536233
contract_195_full,trees_600,195,split_substation_based,train,0.975,0.5248971218675281,2021,1380,641,0.652795677044473,0.4988419511026341,0.8166666666666667,0.07644305772230889,0.1398002853067047,0.007971014492753623
contract_195_full,trees_600,195,split_substation_based,train,0.99,0.5354055589400211,2021,1380,641,0.652795677044473,0.4988419511026341,0.868421052631579,0.0514820592823713,0.09720176730486009,0.0036231884057971015
contract_195_full,trees_600,195,split_substation_based,validation,0.95,0.5124087872258674,249,196,53,0.5155949172121679,0.22104913515445027,0.0,0.0,0.0,0.07653061224489796
contract_195_full,trees_600,195,split_substation_based,validation,0.975,0.5248971218675281,249,196,53,0.5155949172121679,0.22104913515445027,0.0,0.0,0.0,0.07142857142857142
contract_195_full,trees_600,195,split_substation_based,validation,0.99,0.5354055589400211,249,196,53,0.5155949172121679,0.22104913515445027,0.0,0.0,0.0,0.02040816326530612
contract_195_full,trees_600,195,split_substation_based,holdout,0.95,0.5124087872258674,256,191,65,0.5594844945630286,0.33970482763438653,0.38461538461538464,0.07692307692307693,0.1282051282051282,0.041884816753926704
contract_195_full,trees_600,195,split_substation_based,holdout,0.975,0.5248971218675281,256,191,65,0.5594844945630286,0.33970482763438653,0.3,0.046153846153846156,0.08,0.03664921465968586
contract_195_full,trees_600,195,split_substation_based,holdout,0.99,0.5354055589400211,256,191,65,0.5594844945630286,0.33970482763438653,0.3333333333333333,0.03076923076923077,0.056338028169014086,0.020942408376963352
contract_195_full,max_samples_256,195,split_time_based,train,0.95,0.5127562294250172,1770,1263,507,0.6147943049094154,0.40603059061849944,0.49606299212598426,0.1242603550295858,0.19873817034700317,0.050673000791765635
contract_195_full,max_samples_256,195,split_time_based,train,0.975,0.5227146408149635,1770,1263,507,0.6147943049094154,0.40603059061849944,0.5733333333333334,0.08481262327416174,0.14776632302405499,0.025336500395882817
contract_195_full,max_samples_256,195,split_time_based,train,0.99,0.5361464703312852,1770,1263,507,0.6147943049094154,0.40603059061849944,0.6060606060606061,0.03944773175542406,0.07407407407407407,0.010292953285827395
contract_195_full,max_samples_256,195,split_time_based,validation,0.95,0.5127562294250172,362,243,119,0.5964657467925443,0.45034796592995413,0.0,0.0,0.0,0.0
contract_195_full,max_samples_256,195,split_time_based,validation,0.975,0.5227146408149635,362,243,119,0.5964657467925443,0.45034796592995413,0.0,0.0,0.0,0.0
contract_195_full,max_samples_256,195,split_time_based,validation,0.99,0.5361464703312852,362,243,119,0.5964657467925443,0.45034796592995413,0.0,0.0,0.0,0.0
contract_195_full,max_samples_256,195,split_time_based,holdout,0.95,0.5127562294250172,394,261,133,0.7098205283323249,0.6827670280876597,1.0,0.15789473684210525,0.2727272727272727,0.0
contract_195_full,max_samples_256,195,split_time_based,holdout,0.975,0.5227146408149635,394,261,133,0.7098205283323249,0.6827670280876597,1.0,0.14285714285714285,0.25,0.0
contract_195_full,max_samples_256,195,split_time_based,holdout,0.99,0.5361464703312852,394,261,133,0.7098205283323249,0.6827670280876597,1.0,0.12781954887218044,0.22666666666666666,0.0
contract_195_full,max_samples_256,195,split_substation_based,train,0.95,0.5127562294250172,2021,1380,641,0.6506568088810508,0.5027726094277742,0.6583333333333333,0.12324492979719189,0.2076215505913272,0.029710144927536233
contract_195_full,max_samples_256,195,split_substation_based,train,0.975,0.5227146408149635,2021,1380,641,0.6506568088810508,0.5027726094277742,0.8405797101449275,0.0904836193447738,0.16338028169014085,0.007971014492753623
contract_195_full,max_samples_256,195,split_substation_based,train,0.99,0.5361464703312852,2021,1380,641,0.6506568088810508,0.5027726094277742,0.875,0.054602184087363496,0.1027900146842878,0.0036231884057971015
contract_195_full,max_samples_256,195,split_substation_based,validation,0.95,0.5127562294250172,249,196,53,0.5153061224489797,0.2267301037677545,0.0,0.0,0.0,0.07653061224489796
contract_195_full,max_samples_256,195,split_substation_based,validation,0.975,0.5227146408149635,249,196,53,0.5153061224489797,0.2267301037677545,0.0,0.0,0.0,0.07142857142857142
contract_195_full,max_samples_256,195,split_substation_based,validation,0.99,0.5361464703312852,249,196,53,0.5153061224489797,0.2267301037677545,0.0,0.0,0.0,0.02040816326530612
contract_195_full,max_samples_256,195,split_substation_based,holdout,0.95,0.5127562294250172,256,191,65,0.5614176399516714,0.3393736734811812,0.38461538461538464,0.07692307692307693,0.1282051282051282,0.041884816753926704
contract_195_full,max_samples_256,195,split_substation_based,holdout,0.975,0.5227146408149635,256,191,65,0.5614176399516714,0.3393736734811812,0.36363636363636365,0.06153846153846154,0.10526315789473684,0.03664921465968586
contract_195_full,max_samples_256,195,split_substation_based,holdout,0.99,0.5361464703312852,256,191,65,0.5614176399516714,0.3393736734811812,0.3333333333333333,0.03076923076923077,0.056338028169014086,0.020942408376963352
contract_195_full,max_samples_512,195,split_time_based,train,0.95,0.5019216091147135,1770,1263,507,0.6408116925200792,0.4559703447363537,0.6073619631901841,0.1952662721893491,0.2955223880597015,0.050673000791765635
contract_195_full,max_samples_512,195,split_time_based,train,0.975,0.5105120362254465,1770,1263,507,0.6408116925200792,0.4559703447363537,0.7064220183486238,0.15187376725838264,0.25,0.025336500395882817
contract_195_full,max_samples_512,195,split_time_based,train,0.99,0.5285582172419183,1770,1263,507,0.6408116925200792,0.4559703447363537,0.7111111111111111,0.0631163708086785,0.11594202898550725,0.010292953285827395
contract_195_full,max_samples_512,195,split_time_based,validation,0.95,0.5019216091147135,362,243,119,0.6183214026351281,0.43722093744702223,0.0,0.0,0.0,0.0
contract_195_full,max_samples_512,195,split_time_based,validation,0.975,0.5105120362254465,362,243,119,0.6183214026351281,0.43722093744702223,0.0,0.0,0.0,0.0
contract_195_full,max_samples_512,195,split_time_based,validation,0.99,0.5285582172419183,362,243,119,0.6183214026351281,0.43722093744702223,0.0,0.0,0.0,0.0
contract_195_full,max_samples_512,195,split_time_based,holdout,0.95,0.5019216091147135,394,261,133,0.7203065134099618,0.6788308483670523,1.0,0.18045112781954886,0.3057324840764331,0.0
