model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
leadtime_lgbm,holdout,67,150,0.03,15,-1,20,0.9,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45636704119850185,0.6658936503788868,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,68,150,0.03,15,-1,20,0.9,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.3284274809160305,0.3940280787914376,0.7902097902097902,0.6923076923076923
leadtime_lgbm,holdout,68,150,0.03,15,-1,20,0.9,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4638537271448664,0.6771857521342359,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,69,150,0.03,15,-1,30,0.8,0.8,0.1,1.0,balanced,143,0.46853146853146854,0.3489583333333333,0.4193618881118881,0.7902097902097902,0.6573426573426573
leadtime_lgbm,holdout,69,150,0.03,15,-1,30,0.8,0.8,0.1,1.0,balanced,86,0.6627906976744186,0.44884025439580993,0.6545036932633832,0.9651162790697675,0.37209302325581395
leadtime_lgbm,validation,70,150,0.03,15,-1,30,0.8,0.9,0.1,1.0,balanced,143,0.46153846153846156,0.34385236729129787,0.4123838073664113,0.7902097902097902,0.6643356643356644
leadtime_lgbm,holdout,70,150,0.03,15,-1,30,0.8,0.9,0.1,1.0,balanced,86,0.7093023255813954,0.48145033174469676,0.6984241855249347,0.9651162790697675,0.32558139534883723
leadtime_lgbm,validation,71,150,0.03,15,-1,30,0.9,0.8,0.1,1.0,balanced,143,0.46853146853146854,0.3489583333333333,0.4193618881118881,0.7902097902097902,0.6573426573426573
leadtime_lgbm,holdout,71,150,0.03,15,-1,30,0.9,0.8,0.1,1.0,balanced,86,0.6627906976744186,0.44884025439580993,0.6545036932633832,0.9651162790697675,0.37209302325581395
leadtime_lgbm,validation,72,150,0.03,15,-1,30,0.9,0.9,0.1,1.0,balanced,143,0.46153846153846156,0.34385236729129787,0.4123838073664113,0.7902097902097902,0.6643356643356644
leadtime_lgbm,holdout,72,150,0.03,15,-1,30,0.9,0.9,0.1,1.0,balanced,86,0.7093023255813954,0.48145033174469676,0.6984241855249347,0.9651162790697675,0.32558139534883723
leadtime_lgbm,validation,73,150,0.03,31,3,10,0.8,0.8,0.1,1.0,balanced,143,0.46153846153846156,0.3447811447811448,0.41559652468743374,0.7902097902097902,0.6923076923076923
leadtime_lgbm,holdout,73,150,0.03,31,3,10,0.8,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.4182072829131653,0.6077779949188978,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,74,150,0.03,31,3,10,0.8,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.3289160305343512,0.402259969038595,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,74,150,0.03,31,3,10,0.8,0.9,0.1,1.0,balanced,86,0.5813953488372093,0.39409282700421944,0.5691786870768325,0.9534883720930233,0.45348837209302323
leadtime_lgbm,validation,75,150,0.03,31,3,10,0.9,0.8,0.1,1.0,balanced,143,0.46153846153846156,0.3447811447811448,0.41559652468743374,0.7902097902097902,0.6923076923076923
leadtime_lgbm,holdout,75,150,0.03,31,3,10,0.9,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.4182072829131653,0.6077779949188978,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,76,150,0.03,31,3,10,0.9,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.3289160305343512,0.402259969038595,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,76,150,0.03,31,3,10,0.9,0.9,0.1,1.0,balanced,86,0.5813953488372093,0.39409282700421944,0.5691786870768325,0.9534883720930233,0.45348837209302323
leadtime_lgbm,validation,77,150,0.03,31,3,20,0.8,0.8,0.1,1.0,balanced,143,0.46153846153846156,0.34432234432234426,0.42157842157842157,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,77,150,0.03,31,3,20,0.8,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4656574151948416,0.6754552389148591,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,78,150,0.03,31,3,20,0.8,0.9,0.1,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4065777972027972,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,78,150,0.03,31,3,20,0.8,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4646464646464647,0.6772374911909794,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,79,150,0.03,31,3,20,0.9,0.8,0.1,1.0,balanced,143,0.46153846153846156,0.34432234432234426,0.42157842157842157,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,79,150,0.03,31,3,20,0.9,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4656574151948416,0.6754552389148591,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,80,150,0.03,31,3,20,0.9,0.9,0.1,1.0,balanced,143,0.44755244755244755,0.3333333333333333,0.4065777972027972,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,80,150,0.03,31,3,20,0.9,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4646464646464647,0.6772374911909794,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,81,150,0.03,31,3,30,0.8,0.8,0.1,1.0,balanced,143,0.46853146853146854,0.3494505494505495,0.4257742257742258,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,81,150,0.03,31,3,30,0.8,0.8,0.1,1.0,balanced,86,0.6976744186046512,0.4735219949565705,0.687411625952159,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,82,150,0.03,31,3,30,0.8,0.9,0.1,1.0,balanced,143,0.45454545454545453,0.33886853886853885,0.40934620934620936,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,82,150,0.03,31,3,30,0.8,0.9,0.1,1.0,balanced,86,0.7209302325581395,0.4890756302521009,0.7109439124487004,0.9651162790697675,0.313953488372093
leadtime_lgbm,validation,83,150,0.03,31,3,30,0.9,0.8,0.1,1.0,balanced,143,0.46853146853146854,0.3494505494505495,0.4257742257742258,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,83,150,0.03,31,3,30,0.9,0.8,0.1,1.0,balanced,86,0.6976744186046512,0.4735219949565705,0.687411625952159,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,84,150,0.03,31,3,30,0.9,0.9,0.1,1.0,balanced,143,0.45454545454545453,0.33886853886853885,0.40934620934620936,0.7902097902097902,0.6853146853146853
leadtime_lgbm,holdout,84,150,0.03,31,3,30,0.9,0.9,0.1,1.0,balanced,86,0.7209302325581395,0.4890756302521009,0.7109439124487004,0.9651162790697675,0.313953488372093
leadtime_lgbm,validation,85,150,0.03,31,4,10,0.8,0.8,0.1,1.0,balanced,143,0.4125874125874126,0.30600078387689006,0.35866305858260805,0.7902097902097902,0.7342657342657343
leadtime_lgbm,holdout,85,150,0.03,31,4,10,0.8,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.41827866554527615,0.6065483990846324,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,86,150,0.03,31,4,10,0.8,0.9,0.1,1.0,balanced,143,0.40559440559440557,0.2989417989417989,0.3451132201132201,0.7902097902097902,0.7272727272727273
