split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,sampling_strategy,selected_action_threshold,best_iteration,selection_score,train_rows_effective
validation,expanded_lgbm_04,401,39.34226275543524,42.63612452440248,-0.5862414678741226,0.509040421844861,107,1.0,0.09345794392523364,0.9774735640255078,1.0,0.18691588785046728,0.9403429071236479,0.64,0.29906542056074764,0.7433511122256282,0.49,0.45794392523364486,0.6272077085729054,0.5046728971962616,0.5046728971962616,0.6404211108202656,55.25,80,82,16,223,0.49382716049382713,0.8333333333333334,0.6201550387596899,0.7311475409836066,0.40399002493765584,split_regime_based,severity_weighted,55.25,16,1.6788941746556352,1784
validation,expanded_lgbm_01,401,37.68938254844582,44.97962862846496,-0.765410015061083,0.506624141331258,107,1.0,0.09345794392523364,1.0,0.85,0.1588785046728972,0.8755887698250681,0.52,0.24299065420560748,0.6368122919165209,0.44,0.411214953271028,0.5639905262193019,0.45794392523364486,0.45794392523364486,0.5901478480922023,59.75,93,114,3,191,0.4492753623188406,0.96875,0.6138613861386139,0.6262295081967213,0.516209476309227,split_regime_based,severity_weighted,59.75,45,1.6064485613037425,1784
validation,expanded_lgbm_05,401,37.125374344053824,44.71884971698701,-0.7449986806020639,0.4836203895014194,107,1.0,0.09345794392523364,1.0,0.9,0.16822429906542055,0.9103772142370704,0.52,0.24299065420560748,0.6439319305657889,0.44,0.411214953271028,0.5688718316479646,0.4485981308411215,0.4485981308411215,0.5862568196011322,61.75,89,116,7,189,0.43414634146341463,0.9270833333333334,0.5913621262458472,0.6196721311475409,0.5112219451371571,split_regime_based,severity_weighted,61.75,47,1.5665772245315304,1784
validation,expanded_lgbm_03,401,35.875912419680226,43.35698430952394,-0.6403328779762139,0.45931820299043924,107,0.9,0.08411214953271028,0.9363792118010483,0.6,0.11214953271028037,0.6934999132883501,0.58,0.27102803738317754,0.654007235340334,0.44,0.411214953271028,0.569296439962207,0.411214953271028,0.411214953271028,0.5579183392392789,55.5,90,134,6,171,0.4017857142857143,0.9375,0.5625,0.5606557377049181,0.5586034912718204,split_regime_based,severity_weighted,55.5,52,1.5004131872911752,1784
validation,expanded_lgbm_02,401,40.375438185232035,44.37583845471164,-0.7183316875929269,0.3718325016636114,107,1.0,0.09345794392523364,1.0,0.8,0.14953271028037382,0.8538251118444298,0.52,0.24299065420560748,0.6389014531230967,0.43,0.40186915887850466,0.5656899923344862,0.411214953271028,0.411214953271028,0.5600596541587571,55.25,90,175,6,130,0.33962264150943394,0.9375,0.4986149584487534,0.4262295081967213,0.6608478802992519,split_regime_based,severity_weighted,55.25,17,1.3649753507472364,1784
validation,expanded_lgbm_06,401,40.66580389027042,44.53735952346278,-0.7308633667055222,0.3600557164946813,107,1.0,0.09345794392523364,0.9750562664862176,0.8,0.14953271028037382,0.8511984034849261,0.46,0.21495327102803738,0.6018660901660384,0.39,0.3644859813084112,0.5415330103379742,0.3925233644859813,0.3925233644859813,0.5507769471799223,54.0,96,196,0,109,0.3287671232876712,1.0,0.49484536082474223,0.35737704918032787,0.7281795511221946,split_regime_based,severity_weighted,54.0,18,1.3246369905282107,1784
validation,expanded_lgbm_05,401,20.362155835884987,25.747850439308266,0.4215100601820517,0.6089219953613213,107,1.0,0.09345794392523364,0.9527867690829914,1.0,0.18691588785046728,0.9469872852870843,0.72,0.3364485981308411,0.7657346843463473,0.63,0.5887850467289719,0.7360284319421696,0.6448598130841121,0.6448598130841121,0.7556147999537299,46.75,90,58,6,247,0.6081081081081081,0.9375,0.7377049180327868,0.8098360655737705,0.3690773067331671,split_regime_based,hard_case_weighted,46.75,30,2.099261592079864,1784
validation,expanded_lgbm_06,401,21.2363960056984,26.74053991784178,0.3760436643434364,0.6115199596560873,107,1.0,0.09345794392523364,0.9783689320123565,0.9,0.16822429906542055,0.8988885699711269,0.8,0.37383177570093457,0.8118236058168156,0.64,0.5981308411214953,0.7045163528163031,0.6355140186915887,0.6355140186915887,0.7132186147753279,44.25,90,59,6,246,0.6040268456375839,0.9375,0.7346938775510204,0.8065573770491803,0.371571072319202,split_regime_based,hard_case_weighted,44.25,37,2.065454233154826,1784
validation,expanded_lgbm_01,401,20.77961072222454,25.924856902906377,0.41352893363001264,0.6004250918471085,107,1.0,0.09345794392523364,0.971051340001849,1.0,0.18691588785046728,0.9582490576962351,0.68,0.3177570093457944,0.7508237846875434,0.62,0.5794392523364486,0.6872759813255721,0.6261682242990654,0.6261682242990654,0.7079449740611096,45.25,90,64,6,241,0.5844155844155844,0.9375,0.7200000000000001,0.7901639344262295,0.38403990024937656,split_regime_based,hard_case_weighted,45.25,28,2.0278507352229265,1784
validation,expanded_lgbm_04,401,23.54697573725928,27.36705344574408,0.34646336765837205,0.5945154586688236,107,1.0,0.09345794392523364,0.9750562664862176,1.0,0.18691588785046728,0.9613256992840561,0.66,0.308411214953271,0.7530474740678719,0.6,0.5607476635514018,0.6967887368737694,0.6261682242990654,0.6261682242990654,0.7057096947459598,36.0,90,64,6,241,0.5844155844155844,0.9375,0.7200000000000001,0.7901639344262295,0.38403990024937656,split_regime_based,hard_case_weighted,36.0,23,2.0041816101833607,1784
validation,expanded_lgbm_02,401,23.200575520354658,27.423693030808174,0.3437554145752961,0.6041792425678785,107,1.0,0.09345794392523364,0.9774735640255078,1.0,0.18691588785046728,0.9614163777782303,0.68,0.3177570093457944,0.7713238643462104,0.58,0.5420560747663551,0.691014976861531,0.5981308411214953,0.5981308411214953,0.7087155040781128,38.0,90,64,6,241,0.5844155844155844,0.9375,0.7200000000000001,0.7901639344262295,0.38403990024937656,split_regime_based,hard_case_weighted,38.0,25,2.0002760185883908,1784
validation,expanded_lgbm_03,401,23.572291089525496,27.703256903040067,0.33030737845435465,0.6001578627839679,107,1.0,0.09345794392523364,0.9763933845414958,1.0,0.18691588785046728,0.9712938983764542,0.62,0.2897196261682243,0.7333785438356871,0.6,0.5607476635514018,0.6867056054864619,0.5981308411214953,0.5981308411214953,0.6930474835729471,38.0,90,64,6,241,0.5844155844155844,0.9375,0.7200000000000001,0.7901639344262295,0.38403990024937656,split_regime_based,hard_case_weighted,38.0,27,1.9962328568342094,1784
validation,expanded_lgbm_01,401,28.090795982266897,30.83851861066466,0.17014756898807237,0.6296761891646034,107,1.0,0.09345794392523364,1.0,0.95,0.17757009345794392,0.9430164560597266,0.74,0.34579439252336447,0.7681958958986306,0.65,0.6074766355140186,0.7259707281905399,0.6635514018691588,0.6635514018691588,0.7429664685260824,40.75,89,55,7,250,0.6180555555555556,0.9270833333333334,0.7416666666666667,0.819672131147541,0.35910224438902744,split_regime_based,event_balanced,40.75,17,2.090623910514984,1784
validation,expanded_lgbm_03,401,28.93344922552557,31.422653599500975,0.13841214032692428,0.6230447320526513,107,1.0,0.09345794392523364,0.9677719561143527,1.0,0.18691588785046728,0.9566246432140064,0.74,0.34579439252336447,0.7811127551607475,0.7,0.6542056074766355,0.7512066453918508,0.6728971962616822,0.6728971962616822,0.747660472660279,39.5,88,74,8,231,0.5432098765432098,0.9166666666666666,0.6821705426356588,0.7573770491803279,0.40399002493765584,split_regime_based,event_balanced,39.5,17,2.039890993185045,1784
validation,expanded_lgbm_04,401,29.165444939306227,31.515156320093485,0.13333194994872632,0.5894175752505073,107,1.0,0.09345794392523364,0.9763933845414958,1.0,0.18691588785046728,0.9737700421850028,0.68,0.3177570093457944,0.76867605401733,0.59,0.5514018691588785,0.7066204137812692,0.6074766355140186,0.6074766355140186,0.7296482308009675,38.5,71,48,25,257,0.5966386554621849,0.7395833333333334,0.6604651162790698,0.8426229508196721,0.2967581047381546,split_regime_based,event_balanced,38.5,14,1.9214350525811759,1784
validation,expanded_lgbm_05,401,28.272482962898252,30.985509313884727,0.16221779116529378,0.5928748882331175,107,1.0,0.09345794392523364,0.9452455201398604,0.9,0.16822429906542055,0.8648911825788407,0.86,0.40186915887850466,0.8244250479871612,0.6,0.5607476635514018,0.6886160191464182,0.5794392523364486,0.5794392523364486,0.6805929469689455,39.25,88,79,8,226,0.5269461077844312,0.9166666666666666,0.6692015209125475,0.740983606557377,0.4164588528678304,split_regime_based,event_balanced,39.25,17,1.9032174392968615,1784
validation,expanded_lgbm_06,401,29.65351055832932,31.883535491582343,0.11295265200976956,0.5667189688158467,107,1.0,0.09345794392523364,0.9251687994586529,1.0,0.18691588785046728,0.9405322965315802,0.8,0.37383177570093457,0.7899882608527059,0.53,0.4953271028037383,0.6483751611669925,0.5420560747663551,0.5420560747663551,0.6497214903546129,36.25,82,76,14,229,0.5189873417721519,0.8541666666666666,0.6456692913385826,0.7508196721311475,0.3940149625935162,split_regime_based,event_balanced,36.25,12,1.7940705885574417,1784
