safe_feature,original_feature,split_strategy,sampling_strategy,selected_model_key,importance
f_0022,s_hc1.1_control_unit_mode__dominant__is__tag,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0023,s_hc1.1_heating_pump_status__dominant__is__ein,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0024,s_hc1.1_heating_pump_status__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0025,s_hc1.2_control_unit_mode__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,2
f_0026,s_hc1.2_control_unit_mode__dominant__is__nacht,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0027,s_hc1.2_control_unit_mode__dominant__is__standby,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0028,s_hc1.2_control_unit_mode__dominant__is__tag,split_time_based,severity_weighted,expanded_lgbm_02,3
f_0029,s_hc1.2_dhw_control unit_mode__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0030,s_hc1.2_dhw_control unit_mode__dominant__is__standby,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0031,s_hc1.2_heating_pump_status__dominant__is__aus,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0032,s_hc1.2_heating_pump_status__dominant__is__ein,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0033,s_hc1.2_heating_pump_status__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0034,s_hc1.3_control_unit_mode__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0035,s_hc1.3_control_unit_mode__dominant__is__tag,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0036,s_hc1.3_heating_pump_status__dominant__is__aus,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0037,s_hc1.3_heating_pump_status__dominant__is__ein,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0038,s_hc1.3_heating_pump_status__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0039,s_hc1_control_unit_mode__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0040,s_hc1_control_unit_mode__dominant__is__nacht,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0041,s_hc1_control_unit_mode__dominant__is__standby,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0042,s_hc1_control_unit_mode__dominant__is__tag,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0043,s_hc1_heating_pump_status_setpoint__dominant__is__aus,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0044,s_hc1_heating_pump_status_setpoint__dominant__is__ein,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0045,s_hc1_heating_pump_status_setpoint__dominant__is__missing,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0046,season_bucket__is__autumn,split_time_based,severity_weighted,expanded_lgbm_02,1
f_0047,season_bucket__is__spring,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0048,season_bucket__is__summer,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0049,season_bucket__is__winter,split_time_based,severity_weighted,expanded_lgbm_02,2
f_0050,days_since_last_any_event,split_time_based,severity_weighted,expanded_lgbm_02,404
f_0051,days_since_last_task_event,split_time_based,severity_weighted,expanded_lgbm_02,71
f_0052,extreme_change_count,split_time_based,severity_weighted,expanded_lgbm_02,31
f_0053,has_buffer_tank,split_time_based,severity_weighted,expanded_lgbm_02,1
f_0054,has_dhw,split_time_based,severity_weighted,expanded_lgbm_02,0
f_0055,max_timestamp_gap_minutes,split_time_based,severity_weighted,expanded_lgbm_02,3
f_0056,missing_count,split_time_based,severity_weighted,expanded_lgbm_02,10
f_0057,missing_rate,split_time_based,severity_weighted,expanded_lgbm_02,7
