variant,threshold,rows,positives,predicted_positive,predicted_positive_rate,precision,recall,f1,false_positive_rate,false_positive_count,true_positive_count
official_priority_v2,59.5,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
official_priority_v2,60.0,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
official_priority_v2,60.5,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
official_priority_v2,61.0,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
official_priority_v2,61.5,300,86,25,0.08333333333333333,1.0,0.29069767441860467,0.45045045045045046,0.0,0,25
official_priority_v2,62.0,300,86,24,0.08,1.0,0.27906976744186046,0.43636363636363634,0.0,0,24
official_priority_v2,62.5,300,86,24,0.08,1.0,0.27906976744186046,0.43636363636363634,0.0,0,24
official_priority_v2,63.0,300,86,23,0.07666666666666666,1.0,0.26744186046511625,0.42201834862385323,0.0,0,23
official_priority_v2,63.5,300,86,23,0.07666666666666666,1.0,0.26744186046511625,0.42201834862385323,0.0,0,23
official_priority_v2,64.0,300,86,22,0.07333333333333333,1.0,0.2558139534883721,0.4074074074074074,0.0,0,22
official_priority_v2,64.5,300,86,21,0.07,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21
official_priority_v2,65.0,300,86,21,0.07,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21
official_priority_v2,65.5,300,86,21,0.07,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21
official_priority_v2,66.0,300,86,21,0.07,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21
official_priority_v2,66.5,300,86,20,0.06666666666666667,1.0,0.23255813953488372,0.37735849056603776,0.0,0,20
official_priority_v2,67.0,300,86,20,0.06666666666666667,1.0,0.23255813953488372,0.37735849056603776,0.0,0,20
official_priority_v2,67.5,300,86,20,0.06666666666666667,1.0,0.23255813953488372,0.37735849056603776,0.0,0,20
official_priority_v2,68.0,300,86,18,0.06,1.0,0.20930232558139536,0.34615384615384615,0.0,0,18
official_priority_v2,68.5,300,86,14,0.04666666666666667,1.0,0.16279069767441862,0.28,0.0,0,14
official_priority_v2,69.0,300,86,14,0.04666666666666667,1.0,0.16279069767441862,0.28,0.0,0,14
official_priority_v2,69.5,300,86,14,0.04666666666666667,1.0,0.16279069767441862,0.28,0.0,0,14
official_priority_v2,70.0,300,86,14,0.04666666666666667,1.0,0.16279069767441862,0.28,0.0,0,14
official_priority_v2,70.5,300,86,13,0.043333333333333335,1.0,0.1511627906976744,0.26262626262626265,0.0,0,13
official_priority_v2,71.0,300,86,11,0.03666666666666667,1.0,0.12790697674418605,0.2268041237113402,0.0,0,11
official_priority_v2,71.5,300,86,11,0.03666666666666667,1.0,0.12790697674418605,0.2268041237113402,0.0,0,11
official_priority_v2,72.0,300,86,11,0.03666666666666667,1.0,0.12790697674418605,0.2268041237113402,0.0,0,11
risk_gated_urgency_x8,20.0,300,86,169,0.5633333333333334,0.4556213017751479,0.8953488372093024,0.6039215686274509,0.42990654205607476,92,77
risk_gated_urgency_x8,20.5,300,86,166,0.5533333333333333,0.4457831325301205,0.8604651162790697,0.5873015873015873,0.42990654205607476,92,74
risk_gated_urgency_x8,21.0,300,86,166,0.5533333333333333,0.4457831325301205,0.8604651162790697,0.5873015873015873,0.42990654205607476,92,74
risk_gated_urgency_x8,21.5,300,86,166,0.5533333333333333,0.4457831325301205,0.8604651162790697,0.5873015873015873,0.42990654205607476,92,74
risk_gated_urgency_x8,22.0,300,86,161,0.5366666666666666,0.45962732919254656,0.8604651162790697,0.5991902834008097,0.40654205607476634,87,74
risk_gated_urgency_x8,22.5,300,86,155,0.5166666666666667,0.4774193548387097,0.8604651162790697,0.6141078838174274,0.37850467289719625,81,74
risk_gated_urgency_x8,23.0,300,86,146,0.4866666666666667,0.5068493150684932,0.8604651162790697,0.6379310344827587,0.3364485981308411,72,74
